区,事業所名称,事業所所在地,ＴＥＬ,ＦＡＸ,支援の種類,備考,事業所郵便番号
堺区,アムールケア 堺 相談支援,大阪府堺市堺区一条通15-21 大成マンション1Ｆ,072-224-8055,072-224-8056,,,590-0048
中区,有限会社輝ケアーセンター３９,大阪府堺市中区深井中町1211番地3,072-281-6461,072-281-7739,,,599-8272
中区,あしすとハート,大阪府堺市中区八田北町297番１,072-277-4165,072-277-4166,,,599-8262
中区,相談支援センターこうせん,"大阪府堺市中区土師町3丁8番１号
 コミニティープラザ104",072-276-0701,072-276-0702,,,599-8238
中区,相談センターＣＳＷ堺,大阪府堺市中区深井沢町3315番地グランパス深井303号,072-247-7229,072-247-7360,,,599-8236
中区,はな介護支援センター,大阪府堺市中区上之４３３－１１,072-349-7111,072-237-7555,,,599-8244
中区,赤坂事業所,大阪府堺市中区福田1061-5-202,072-292-1361,072-294-6025,,,599-8241
中区,相談支援センターかなで,大阪府堺市中区東山５０－１,072-237-1113,072-237-1134,,,599-8247
中区,みらい,大阪府堺市中区福田４９３－２ freebird B102,072-237-1140,072-235-1150,"R5.10.1事業所所在地変更
 R5.10.1～ 休止中",,599-8241
中区,ロード,大阪府堺市中区土師町五丁12番地27 ベルコート102号,072-206-0801,072-206-0809,,,599-8238
中区,サポートセンターＯＭＳ,大阪府堺市中区深井沢町3286番地,072-377-9926,072-201-2173,,,599-8236
中区,さぽーと大阪,大阪府堺市中区深井清水町1797番１の10 三和ビル2階,072-278-1278,072-278-1278,,,599-8273
中区,相談支援sunつむぎ,大阪府堺市中区土師町3丁3番13号,072-248-6660,072-248-6660,,,599-8238
中区,相談支援nicotto,大阪府堺市中区深井沢町３１９５番地 セリバノーブル１F,072-281-3077,072-281-3077,,,599-8236
中区,相談支援センターnico,大阪府堺市中区深井東町３０３６番地,072-355-8495,072-249-0968,,,599-8235
中区,計画相談センターあいらぶ,大阪府堺市中区土師町三丁34番24号 ハーベストグリーン212号,072-275-5999,072-275-5999,,,599-8238
中区,相談支援事業所 タリオ,大阪府堺市中区深井沢町3277 プログレスビル2階2B,072-281-1124,072-281-1125,,,599-8236
中区,相談支援室ちゅら,大阪府堺市中区福田700番地3,072-239-6365,072-239-6365,,,599-8241
中区,相談支援げんき,大阪府堺市中区深井中町1197番地1,072-277-1802,072-277-1802,,,599-8272
中区,相談支援 ウイング,大阪府堺市中区深井北町3462番,072-275-7091,072-275-7093,,,599-8271
中区,ジーアール介護センター,大阪府堺市中区土師町四丁25-9,072-280-4163,072-280-4425,,,599-8238
中区,相談支援 ＧＩＦＴ,大阪府堺市中区堀上町272-22,070-9074-2860,072-370-7753,,,599-8261
中区,相談支援センターCinKa,大阪府堺市中区深井中町995番地9,072-321-0563,072-203-9182,,,599-8272
中区,スタンドバイ,大阪府堺市中区深井沢町3265番,072-270-2095,072-276-4095,,,599-8236
中区,calm相談支援,大阪府堺市中区堀上町220番地 ライオンズマンション堺堀上の丘601,070-9098-1490,,,,599-8261
東区,コスモス地域福祉活動センターえると,大阪府堺市東区野尻町８番地４,072-288-1050,072-288-1717,,,599-8116
東区,相談支援事業所 青い鳥,大阪府堺市東区日置荘西町8丁1番1号,072-286-2260,072-286-2268,,,599-8114
東区,ルート相談支援センター,大阪府堺市東区日置荘原寺町185-52萩原天神ハイツ305号室,072-288-5686,072-231-9058,,,599-8112
東区,まぁーるい心,大阪府堺市東区日置荘原寺町46-2 堺グランセ301号,072-247-5673,072-256-4465,,,599-8112
東区,相談支援 ぷんば,大阪府堺市東区引野町１丁９６番地１,072-288-5004,072-288-5003,,,599-8104
東区,青りんご,大阪府堺市東区丈六148番地3 サンロワール北野田306号,050-3570-4359,072-231-9023,R5.8.4～事業所移転,,599-8122
東区,相談支援事業所 きよら,大阪府堺市東区高松227番地2 シティパーク北野田1410号,072-235-8779,072-235-8779,,,599-8121
東区,相談支援事業所ふぁーむ,大阪府堺市東区草尾338番地4 辻井ビル1階103号,072-320-9202,072-320-9203,,,599-8127
西区,堺福泉療護園,大阪府堺市西区草部341番地,072-271-0008,072-271-0082,,,593-8312
西区,障害者地域生活支援センターうてな,大阪府堺市西区草部780－１,072-275-1887,072-275-1857,,,593-8312
西区,アプローチ,大阪府堺市西区北条町1丁3番6号,072-279-2615,072-279-2617,,,593-8302
西区,相談支援室 もず,大阪府堺市西区上野芝町2丁4番1号,072-279-3668,072-270-2126,,,593-8301
西区,きいちご相談支援センター,大阪府堺市西区平岡町９２－１３,072-272-4666,072-272-4667,,,593-8307
西区,相談支援センター ポンテ,大阪府堺市西区鳳北町４丁221-1,072-256-4118,072-256-4221,,,593-8328
西区,朋友ケアプランセンター,大阪府堺市西区神野町2丁14番1号,072-289-5406,072-289-5407,,,593-8308
西区,ライフハート,大阪府鳳中町二丁４８番地１ライオンズマンション鳳弐番館４０５号,072-267-4639,072-268-2688,,,593-8327
西区,ペンタス相談支援室,大阪府堺市西区草部18番地24,072-249-6138,072-249-6138,,,593-8312
西区,あがいてぃーだ相談支援室,大阪府堺市西区上野芝町向ヶ丘町4丁24番72号,072-248-8312,072-248-8312,,,593-8303
西区,ペガサス福祉相談支援センター,大阪府堺市西区鳳北町十丁10番地,072-265-7788,072-265-7789,,,593-8328
西区,ゴービーサポート,大阪府堺市西区上４５９－１,072-288-6500,072-290-7918,,,593-8311
西区,オールハンズ,大阪府堺市西区浜寺石津町東四丁5番41号 ジョイフルハイツⅠ203,072-275-6507,072-275-6508,R5.9.1事業所名変更,,592-8335
西区,相談支援事業所 めるきゅーる,大阪府堺市西区草部175番地3 北野ビル202号室,072-349-9126,072-349-9127,,,593-8312
西区,CONNECT×HOUSE,大阪府堺市西区菱木一丁2339番地の3,072-320-9132,072-350-3151,,,593-8315
西区,あっと・なび相談支援,大阪府堺市西区鳳中町四丁97番地5西岡ビル,072-267-2122,072-261-0800,,,593-8327
西区,Richウェルプランセンター,大阪府堺市西区鳳南町一丁3番3号Ｗ6号室,072-289-9528,072-274-7858,,,593-8325
西区,あん相談支援室,大阪府大阪府堺市西区鳳西町三丁1番地5-303,072-260-9252,072-260-9253,,,593-8326
西区,りく相談支援センター,大阪府堺市西区鳳東町二丁185-1,072-284-9932,072-284-9946,,,593-8324
西区【新規】,計画相談あしあと,大阪府堺市西区草部七丁5-1階右側号室,072-289-9847,072-289-9848,,,593-8312
南区,地域生活支援センターフィットウェル,"大阪府堺市南区深阪南119番地
 ダイヤモンドビル203号",072-242-6605,072-237-0900,,,590-0103
南区,相談支援事業 泉北ぴょんぴょん相談室,"大阪府堺市南区城山台5丁1番2号
 大阪府立障がい者交流促進センター
 （ファインプラザ大阪内）",072-294-8113,072-294-8113,,,590-0137
南区,南区在宅支援相談所 あかるい手,大阪府堺市南区深阪南105番地,072‐349‐6155,072‐237‐4100,,,590-0103
南区,ハートフルサンク,大阪府堺市南区桃山台３－１－３,072-298-2871,072-295-8802,,,590-0141
南区,ケアプランセンター元気,大阪府堺市南区新檜尾台４丁52番１－２０５,072-288-4122,072-288-4166,,,590-0143
南区,相談支援センター トライアングル,大阪府堺市南区三原台２丁7番21号,072-220-1158,072-220-1158,,,590-0111
南区,スクエアひかりプラン,大阪府堺市南区和田東771番地1,072-350-1120,072-350-1119,,,590-0102
南区,せんしゅう療育相談室,大阪府堺市南区檜尾114番地１,072-350-3124,072-350-3125,R5.10.1事業所所在地変更,,590-0142
南区,ケアセンター仲村,大阪府堺市南区宮山台四丁7番9号,072-284-3700,072-295-5505,,,590-0101
南区,ロハスプランセンターさかい,大阪府堺市南区庭代台二丁9番6号,072-288-4937,072-288-4938,,,590-0133
南区,コスモスケアプランセンターせんぼく,大阪府堺市南区栂202番地9,072-289-5559,072-289-7072,土曜日は第2、第4、第5土曜を除く,,590-0131
南区,サポートセンター パライソ,大阪府堺市南区深阪南117 深阪矢谷ビル202,072-230-3340,072-230-3341,,,590-0103
南区,居宅支援 こもれび,大阪府堺市南区竹城台四丁15番12号,072-231-9813,072-231-9813,,,590-0105
南区,ひまわり介護センター,大阪府堺市南区高倉台２丁２５－１ 東山ビル２階,072-290-4165,072-290-4166,,,590-0117
南区,アキノ相談支援事業所,大阪府堺市南区檜尾786番地3,072-299-4777,072-299-4777,,,590-0142
南区,相談支援室 つぼみ,大阪府堺市南区城山台五丁１番４号,072-294-7944,072-298-0216,,,590-0137
南区,こだまよろず相談室,大阪府堺市南区槇塚台三丁1番7号,080-3862-3801,072-247-7510,(転入),,590-0114
北区,自立生活センターマイロード,大阪府堺市北区大豆塚町1丁22番16号,072-253-5550,072-253-6270,,,591-8042
北区,ぴーすの支援プランセンター,大阪府堺市北区百舌鳥梅町3丁39-32,072-250-9063,072-250-9061,,,591-8032
北区,アムール相談支援,大阪府堺市北区長曽根町29 シュライクなかもず405号,072-240-1820,072-240-1821,,,591-8025
北区,VIVO SUPPORT ロペ,大阪府堺市北区金岡町188-1アムディール205号,072-275-8291,072-259-1966,,,591-8022
北区,ケアプランセンター あかまんま,"大阪府堺市北区新金岡町５－８－３２７
 村田住宅南東２号",072-255-2010,072-256-4646,,,591-8021
北区,陵東館長曽根相談支援センター,大阪府堺市北区長曽根町７１３番地２,072-259-0010,072-259-2941,,,591-8025
北区,ケアセンターなのはな,大阪府堺市北区奥本町二丁４番地１,072-240-0115,072-240-0116,,,591-8007
北区,うるすす～ursus～,大阪府堺市北区百舌鳥梅町３丁49番28号,080-3573-0600,072-931-0660,,,591-8032
北区,くるみ相談室,大阪府堺市北区北花田町三丁32番地９ ロッソ北花田201,072-257-3390,072-257-3391,,,591-8002
北区,はうすあがぺぇ,大阪府堺市北区南花田町81番地1 ウッズアーバンビル205号室,072-247-8783,072-247-8784,,,591-8011
北区,相談センターラピス,"大阪府堺市北区百舌鳥梅町3丁31番8号
 アフルエンス203号",072-275-9467,072-275-9468,,,591-8032
北区,相談支援事業所エスポワール,大阪府堺市北区百舌鳥赤畑町5丁432番地2,072-254-1162,072-220-0850,,,591-8037
北区,相談支援事業所たらす,大阪府堺市北区東雲東町3-6-20 リンショウマンション502号室,072-200-3077,072-200-3077,,,591-8041
北区,サポートセンタームサシ,大阪府堺市北区百舌鳥梅町2丁600-5 コスモ新洋303号,072-203-0395,072-322-4944,,,591-8032
北区,相談支援センターフィーロ,大阪府堺市北区長曽根町130番地42 さかい新事業創造センター322号室,072-350-0601,072-320-2577,,,591-8025
北区,リンク相談支援センターなかもず,大阪府堺市北区百舌鳥梅町三丁28-17,072-200-2884,072-254-5020,,,591-8032
北区,アトリエ雨,大阪府堺市北区中百舌鳥町六丁996番地3 丸富ビル310号室,072-206-6251,072-206-6251,,,591-8023
美原区,相談支援事業所このめ,大阪府堺市美原区平尾20番地5,072-363-8875,072-363-8874,,,587-0022
美原区,サニーハウス,大阪府堺市美原区北余部西4丁目1番地8号,072-369-4020,072-363-7120,,,587-0053
美原区,相談支援ヨーソロー,大阪府堺市美原区北余部西四丁目1-10 美原北野マンション101号,072-200-3248,072-200-3248,R6.11.1事業所所在地変更,,587-0053
