就労継続支援（Ｂ型）,,,,,,,,,,,,,,,,,
事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：身体,主たる対象者：知的,主たる対象者：精神,主たる対象者：難病,利用定員,多機能の有無,指定日,主たる事業所名,,,
2711701561,松下福祉サポート,06-6777-8141,06-6774-6027,543-0001,大阪市天王寺区上本町七丁目１番２４号　松下ビル９階,合同会社ハーティ,○,○,○,,20,,2024/05/01,,,,
2711701280,ｏｆｆｉｃｅ　ＢＬＯＯＭ,06-6777-5009,06-6711-0208,543-0001,大阪市天王寺区上本町六丁目９番１９号　ＦＬＡＴ３４上本町　３Ｆ,株式会社ＡＬＬ　ＡＳＩＡ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ,○,○,○,○,34,○,2023/04/01,,,,
2711701280,ｏｆｆｉｃｅ　ＢＬＯＯＭ,06-6777-5099,06-6711-0208,543-0001,大阪市天王寺区上本町八丁目２番１号　クライス上本町２０４,株式会社ＡＬＬ　ＡＳＩＡ　ＩＮＴＥＲＮＡＴＩＯＮＡＬ,○,○,○,○,15,○,2023/04/01,ｏｆｆｉｃｅ　ＢＬＯＯＭ,,,
2711700241,ＪＯＩＮ,06-6771-9150,06-6771-0370,543-0002,大阪市天王寺区上汐五丁目２番３号　 ,社会福祉法人　大阪府家内労働センター,,○,,○,45,○,2007/01/01,,,,
2711700308,むつみ工房,06-6773-0418,06-6773-0418,543-0002,大阪市天王寺区上汐四丁目５番１１号　吉祥苑マンション１０１号,特定非営利活動法人　精神障害者支援の会ヒット,,,○,,20,,2009/04/01,,,,
2711701470,医療法人中道会　　ワークステーション　ホープ,06-6767-2708,06-6767-2719,543-0014,大阪市天王寺区玉造元町２番９号　三つ葉玉造駅前ビル４階,医療法人中道会,○,○,○,○,20,,2023/09/01,,,,
2711701546,ピースフル,06-6718-6035,06-6718-6036,543-0014,大阪市天王寺区玉造元町２番９号　三つ葉玉造駅前ビル２階,株式会社ピースフル,○,○,○,○,20,,2024/04/01,,,,
2711701496,未来共生,06-4304-2233,06-4304-2235,543-0015,大阪市天王寺区真田山町２番９号　ガーデンヒルズ天王寺ビル４Ｆ,一般社団法人社会福祉介護支援機構,○,○,○,○,40,○,2023/10/01,,,,
2711700803,ヒューマンネット上本町センター,06-6767-7718,06-6767-7719,543-0017,大阪市天王寺区城南寺町５番３５号　ＨＮビル２階,株式会社　大阪ヒューマンネット,○,○,○,○,10,○,2024/04/01,,,,
2711700597,あしすと,06-6191-7755,06-6191-7756,543-0021,大阪市天王寺区東高津町４番１６号　ウェイブビル１・２・３階,特定非営利活動法人　精神障害者支援の会ヒット,,,○,,20,,2013/04/01,,,,
2711700316,ワークセンター中授,06-6772-4771,06-6772-4774,543-0026,大阪市天王寺区東上町４番１７号　 ,社会福祉法人　大阪市障害者福祉・スポーツ協会,○,○,○,,30,○,2009/04/01,,,,
2711701348,障がい者就労支援センターにこにこ庵・天王寺,06-6770-6000,06-6770-6688,543-0027,大阪市天王寺区筆ケ崎町２番１８号　タイセイ第二ビル４階・５階,有限会社　クローバーホーム,○,○,○,○,10,○,2022/06/01,,,,
2711701579,アルファセブン,06-4305-7957,06-4305-7958,543-0028,大阪市天王寺区小橋町２番１３号　Ｉ・Ｄ・Ｍビル５０１号,合同会社アルファセブン,○,○,○,,20,,2024/05/01,,,,
2711701181,アルファプラス天王寺,06-6105-4388,06-6105-4389,543-0028,大阪市天王寺区小橋町２番１３号　ＩＤＭビル４０１号,合同会社アルファプラス,○,○,○,○,20,,2021/03/01,,,,
2711700258,ＮＰＯ法人ヘレンケラー自立支援センターすまいる,06-6776-2000,06-6776-2012,543-0028,大阪市天王寺区小橋町二番１２号　 ,ＮＰＯ法人ヘレンケラー自立支援センターすまいる,○,,,,30,,2007/06/01,,,,
2711701421,ホエール,06-7182-4918,06-7162-5180,543-0033,大阪市天王寺区堂ケ芝一丁目５番４０号　１０１号室,合同会社ゴールドプランニング,○,○,○,○,30,,2023/04/01,,,,
2711701082,フォーチュンエイド,06-6777-9717,06-6777-9719,543-0041,大阪市天王寺区真法院町６番１２号　真法院ＪＮビル４階,株式会社フォーチュンインターナショナル,○,○,○,○,10,○,2021/05/01,,,,
2711701124,障がい福祉サポートネット　Ｃｌａｎ　Ｎｉｎｅ　真法院,090-1977-0738,06-4256-0793,543-0041,大阪市天王寺区真法院町１１番１号　 ,株式会社Ｎｉｎｅ,○,○,○,○,40,,2020/09/01,,,,
2711701264,ファミーユ・ウリエル,06-6776-8528,06-6776-8529,543-0052,大阪市天王寺区大道一丁目１２番１５号２０１　 ,一般社団法人ウリエル,○,○,○,,20,,2021/11/01,,,,
2711700662,インクルージョン,06-6773-1541,06-6777-1548,543-0052,大阪市天王寺区大道四丁目２番３号　八千代興産寺田町ビル３階５階,株式会社インクルージョン,○,○,○,○,10,○,2021/05/01,,,,
2711701306,ＴＥＣＴＥＣ　ＣＲＥＡＴＩＶＥ　天王寺,06-6777-1440,06-6777-1441,543-0052,大阪市天王寺区大道一丁目１４番１５号　 ,株式会社シーアイ・パートナーズ,○,○,○,,10,○,2023/06/01,,,,
2711700977,就労支援事業所ａｒｋ,06-4302-4491,06-4302-4492,543-0052,大阪市天王寺区大道一丁目５番１３号　東和天王寺ビル６階,株式会社楽座,○,○,○,○,10,○,2018/04/01,,,,
2715804411,就労継続支援Ｂ型事業所アルク,06-6705-1130,050-1513-5834,543-0052,大阪市天王寺区大道四丁目５番１６号　４Ａ,合同会社フォレストウェル,○,○,○,○,20,,2022/04/01,就労継続支援Ｂ型作業所　クロスロード,,,
2710803988,就労継続支援Ｂ型事業所えんむすび,06-6777-8302,06-6958-4101,543-0052,大阪市天王寺区大道二丁目１２番１８号２Ｆ　,合同会社フォレストウェル,○,○,○,○,20,○,2023/11/01,就労継続支援Ｂ型事業所あい,,,
2711701447,ワンダーフレンズ天王寺北,06-6776-9980,06-6776-9981,543-0052,大阪市天王寺区大道一丁目８番１５号　サンパール天王寺ビル１階,株式会社テックエキスパート,○,○,○,○,20,,2023/05/01,,,,
2711701462,ハートフェルト・フローラル・プロジェクト　寺田町,06-6772-8717,06-7635-8718,543-0052,大阪市天王寺区大道四丁目１０番１３号　寺田町吉泉ビル３Ｆ,人財クリエイション株式会社,○,○,○,○,20,,2023/08/01,,,,
2713306195,就労継続支援Ｂ型事業所リライフサポート,06-6718-6619,06-6718-6618,543-0052,大阪市天王寺区大道四丁目５番１６号　３階,株式会社シンシア,○,○,○,○,20,,2023/12/01,,,,
2711701165,ワンダーフレンズ天王寺,06-6648-1239,06-6537-1597,543-0053,大阪市天王寺区北河堀町２番８号　 ,株式会社ワンダーフレンズ,○,○,○,○,20,,2021/01/01,,,,
2711701256,就労支援事業所あすな,06-4392-7143,06-6718-4743,543-0053,大阪市天王寺区北河堀町７番１６号　グランカサ天王寺１Ｆ,合同会社ＯＮ,○,○,○,○,20,,2021/10/01,,,,
2711701587,グリーンズ阿倍野,06-6934-1156,06-6934-1106,543-0054,大阪市天王寺区南河堀町８番１３号　天王寺ＭＩＹＯ　２階,株式会社エヴァーグリーン,○,○,○,○,20,,2024/06/01,,,,
2711701512,ＢＯＯＫＳＴＡＣＫてんのうじ,06-4400-2149,06-4400-2149,543-0056,大阪市天王寺区堀越町１６番９号　毎日シルバービル３階,株式会社シクロ,○,○,○,○,40,,2023/11/01,,,,
2711701629,大阪デジタルキャリア　天王寺駅前オフィス,06-6775-7777,06-6775-7778,543-0063,大阪市天王寺区茶臼山町１番１８号　天王寺エルムビル７階,株式会社リブウェルヤマザキ,○,○,○,○,20,,2024/07/01,,,,
2711701637,アトラス生國魂,06-6777-6071,06-6777-6071,543-0071,大阪市天王寺区生玉町１１番２８号　コレカビル２Ｆ,株式会社五大,○,○,○,○,20,,2024/08/01,,,,
2711701538,就労支援事業所いろは,06-6795-4965,06-6795-4966,543-0071,大阪市天王寺区生玉町２番３号　小出ビル３０８,合同会社ＷＡＶＥ,○,○,○,○,20,,2024/03/01,,,,
2711700761,リボーン天王寺,06-6772-1201,06-6772-1202,543-0072,大阪市天王寺区生玉前町４番６号　ミノハイツ１Ｆ,株式会社ヒロコウチ,○,○,○,○,20,,2015/12/01,,,,
2711701454,Ｌｉｆｅ　谷九,06-6773-8808,06-7635-8313,543-0072,大阪市天王寺区生玉前町５番１６号　ＣＨＩＢＡ　Ｂｌｄｇ４０１,株式会社イーマ,○,○,○,,20,,2023/05/01,,,,
2714301724,ジョブサポートそらいろ,06-4394-8572,06-4394-8542,556-0001,大阪市浪速区下寺一丁目６番７号　アドマスタワー夕陽丘７階,株式会社ｕｎｉｚｏｎ,○,○,○,○,20,,2023/05/01,,,,
2714301799,ＳＰＯＴＬＡＢ夕陽ヶ丘,06-6964-8550,06-6964-8551,556-0001,大阪市浪速区下寺一丁目６番７号　アドマスタワー夕陽丘５階,合同会社はなさく,,○,○,○,10,,2023/08/01,,,,
2714300312,なにわ工房,06-6633-3171,06-6633-3171,556-0001,大阪市浪速区下寺三丁目２番７号　,特定非営利活動法人　障害者地域生活支援の会なにわ,○,○,○,,20,,2008/04/01,,,,
2714300692,ミンナ・ファーム,06-6636-7784,06-6636-7754,556-0003,大阪市浪速区恵美須西三丁目３番２６号　 ,一般社団法人大地のめぐみ,○,○,○,○,20,,2014/07/01,,,,
2714300981,未来,06-6644-9520,06-6644-9521,556-0003,大阪市浪速区恵美須西三丁目２番１１号　鷺乃成ビル２０１号室,アクティブサポート株式会社,○,○,○,○,20,,2017/07/01,,,,
2714301369,ベル,06-6616-9356,06-6616-9357,556-0003,大阪市浪速区恵美須西一丁目２番５号　６階,株式会社ｉ－ｓｔａｇｅ,○,○,○,○,20,,2021/04/01,,,,
2714302037,スクエア,06-6599-8538,06-6599-8539,556-0003,大阪市浪速区恵美須西一丁目５番３号　小沢マンション１０２号室,株式会社フィリア,○,○,○,○,20,,2024/10/01,,,,
2714302045,就労継続支援Ｂ型事業所　にちか,06-6654-4421,06-6654-6164,556-0003,大阪市浪速区恵美須西二丁目５番９号　 ,株式会社三成,○,○,○,○,10,,2024/12/01,,,,
2714301575,ルウなんば南,06-6631-5990,06-7632-2774,556-0005,大阪市浪速区日本橋五丁目１８番２５号　２階,株式会社シクロ,○,○,○,○,40,,2022/10/01,,,,
2714301138,ａｌｏｈａ大阪日本橋,06-6586-6497,06-6586-6498,556-0005,大阪市浪速区日本橋五丁目１３番３号　川北ビル６階,株式会社モードファイブ,○,○,○,○,14,○,2019/07/01,,,,
2714301849,いんざパーク,06-6964-8113,06-6964-8114,556-0005,大阪市浪速区日本橋三丁目１番２１号　寺下ビル２階,いんざパーク株式会社,,○,○,,20,,2023/10/01,,,,
2714301153,ピニオンなんば,06-6556-6197,06-6556-6198,556-0011,大阪市浪速区難波中二丁目２番２０号　２階,株式会社シクロ,○,○,○,○,20,,2019/11/01,,,,
2714301534,ワンダーフレンズなんば,06-6684-8590,06-6537-1597,556-0011,大阪市浪速区難波中三丁目６番１２号　ナンバグランドビル６０１号室,株式会社ワンダーフレンズ,○,○,○,○,20,,2022/06/01,,,,
2714301864,ベストライフなんば４号店,080-4375-6065, ,556-0011,大阪市浪速区難波中二丁目６番１３号　ゴールド・ナンバ竹田ビル４階,株式会社ＧＲＩＴ　ＪＡＰＡＮ,○,○,○,○,10,○,2024/01/01,,,,
2714300536,ピース,06-6647-2077,06-6647-2087,556-0014,大阪市浪速区大国一丁目１１番１号　,社会福祉法人　ピースクラブ,○,○,○,○,10,○,2012/04/01,,,,
2714301005,みどりの風西川,06-6649-0777,06-6949-0755,556-0014,大阪市浪速区大国一丁目３番４号　レックビル２階,一般社団法人　みどりの風西川,○,○,,,20,○,2017/09/01,,,,
2714301328,アップキープ・モア,06-6630-6030,06-6630-6010,556-0014,大阪市浪速区大国三丁目９番６号　ハイツヨシノ１０１号室,株式会社ともくに,○,○,○,○,20,,2021/04/01,,,,
2714301971,就労継続支援　レゼル,06-6964-8023, ,556-0014,大阪市浪速区大国一丁目２番２号　 ,株式会社レゼル,○,○,○,○,10,,2024/07/01,,,,
2714301443,多機能型事業所ブルーム,06-6647-5507,06-6585-9017,556-0015,大阪市浪速区敷津西二丁目１３番２３号　 ,さくら総合事務所株式会社,○,○,○,○,12,○,2021/11/01,,,,
2714301617,ステップ,06-6710-9119,06-6710-9589,556-0015,大阪市浪速区敷津西二丁目２番２３号　ピエス敷津２階,株式会社ｐａｐｔｉｍｕｓ,○,○,○,○,20,○,2023/02/01,,,,
2714301567,就労支援事業所ＣＯＣＯ,06-6633-8002,06-6684-9303,556-0016,大阪市浪速区元町二丁目８番５号　元町クロスビル６階,株式会社アンド,○,○,○,○,20,,2022/09/01,,,,
2714301856,キャリカク大阪なんば事業所,06-6760-4953,06-6760-4954,556-0016,大阪市浪速区元町二丁目８番５号　元町クロスビル３Ｆ,株式会社リシーク,○,○,○,○,20,,2023/11/01,,,,
2714300742,ｉ・ジョブひまわり,06-6561-0171,06-6561-0172,556-0022,大阪市浪速区桜川四丁目４番６号　リンデ桜川１Ｆ・６０３号,特定非営利活動法人　街かど福祉,○,○,○,○,14,○,2015/04/01,,,,
2714301609,就労継続支援Ｂ型　ウェルコネクト,080-3024-1423,06-7632-3246,556-0022,大阪市浪速区桜川四丁目４番１０号　ニューグランドビル４０２・５０１号室,特定非営利活動法人ｏｎｅ－ｓ　ｆｕｔｕｒｅ,○,○,○,○,20,,2023/01/01,,,,
2714300296,デイケアセンター夢の希（ドリーム）,06-6568-3290,06-6568-3294,556-0025,大阪市浪速区浪速東一丁目８番１４号　 ,社会福祉法人　スワンなにわ,○,○,○,,10,○,2012/09/01,,,,
2714300759,Ｌ’ｓ　Ｃｏｌｌｅｇｅ　おおさか,06-6561-7730,06-6561-7733,556-0027,大阪市浪速区木津川二丁目３番８号　 ,一般社団法人　エル・チャレンジ,,○,○,,20,○,2019/04/01,,,,
2711001152,Ｐｏｎｏｌｅ’ａ,06-6476-7930,06-6476-7946,555-0001,大阪市西淀川区佃二丁目５番２４号　 ,株式会社Ｈｏｌｏｉｍｕａ,○,○,○,○,40,,2021/04/01,,,,
2711000683,佑宜,06-6472-1314,06-6472-1314,555-0012,大阪市西淀川区御幣島二丁目７番５号　 ,有限会社　永价,,○,○,,20,,2014/11/01,,,,
2711001202,就労継続支援Ｂ型わかば,06-6300-7773,06-6300-7773,555-0012,大阪市西淀川区御幣島二丁目２１番６号　 ,合同会社ＢｌｕｅＧｒｅｅｎ,○,○,○,○,20,,2022/04/01,,,,
2711001202,はなれ,06-6300-7773,06-6300-7773,555-0012,大阪市西淀川区御幣島二丁目２１番６号　,合同会社ＢｌｕｅＧｒｅｅｎ,○,○,○,○,10,,2022/04/01,就労継続支援Ｂ型わかば,,,
2711801197,就労継続支援Ｂ型事業所　Ｓｔｅｐ　Ｂｙ　Ｓｔｅｐ,06-6711-4108,06-6711-4109,555-0012,大阪市西淀川区御幣島一丁目７番６号　２Ｆ,合同会社ＣＬＯＶＥＲ　ＣＲＥＡＴＥ,○,○,○,○,7,,2023/01/01,,,,
2711801197,就労継続支援Ｂ型Ｓｔｅｐ　Ｂｙ　Ｓｔｅｐ（分館）,06-6711-4108,06-6711-4109,555-0012,大阪市西淀川区御幣島二丁目５番２４　２Ｆ　,合同会社ＣＬＯＶＥＲ　ＣＲＥＡＴＥ,○,○,○,○,33,,2023/01/01,就労継続支援Ｂ型事業所　Ｓｔｅｐ　Ｂｙ　Ｓｔｅｐ,,,
2711000816,桜ほのぼの苑　千舟事業所,06-6300-7550,06-6300-7700,555-0013,大阪市西淀川区千舟二丁目２番１６号　チェリービル２階,株式会社　桜ほのぼの苑,○,○,○,○,20,,2017/05/01,,,,
2711001152,Ｐｏｎｏｌｅ’ａ　Ｎｉｕ,06-6476-7930,06-6476-7946,555-0013,大阪市西淀川区千舟二丁目４番１１号　チェリービルⅡ１－Ａ,株式会社Ｈｏｌｏｉｍｕａ,○,○,○,○,20,,2021/04/01,Ｐｏｎｏｌｅ’ａ,,,
2711000402,いきいき,06-6471-7729,06-6476-7003,555-0013,大阪市西淀川区千舟二丁目１０番６号　,特定非営利活動法人　いきいき,○,○,○,○,13,○,2011/04/01,,,,
2711001053,アルバ,06-6829-7063,06-6829-7786,555-0021,大阪市西淀川区歌島一丁目２５番１０号　 ,株式会社ＡＳＨ,○,○,○,○,20,,2020/01/01,,,,
2711000824,ワークショップ．ｃｏｍ,06-7659-9828,06-7659-9833,555-0022,大阪市西淀川区柏里二丁目１番１９号　石川ビル１階,株式会社ジー・エヌ・オー,○,○,○,○,20,,2017/05/01,,,,
2711001392,フリーワーク西淀川,090-6517-1898,0729-21-1898,555-0024,大阪市西淀川区野里一丁目１３番３号　 ,株式会社フリーケア,○,○,○,○,20,,2024/09/01,,,,
2711001178,Ｃｉｅｌ・Ｈｏｕｘ,06-6475-0608,06-6475-0607,555-0024,大阪市西淀川区野里一丁目２２番４号　プレアール塚本Ⅲ１０３号,Ｙｕｋｉｏ　Ｗｏｒｋｉｎｇ　Ｐｌａｃｅ株式会社,○,○,○,,40,,2021/05/01,,,,
2711001178,ｃｉｅｌ・Ｈｏｕｘ　Ｃａｌｍｅ,06-6475-0608,,555-0025,大阪市西淀川区姫里一丁目６番１３号　クレスト姫里１Ｆ,Ｙｕｋｉｏ　Ｗｏｒｋｉｎｇ　Ｐｌａｃｅ株式会社,○,○,○,,20,,2021/05/01,Ｃｉｅｌ・Ｈｏｕｘ,,,
2711001236,カラードリーム,06-6829-7494,06-6829-7672,555-0031,大阪市西淀川区出来島二丁目７番１０号　 ,株式会社　ｆｉｒｓｔｃｌａｓｓ,○,○,○,○,30,,2022/08/01,,,,
2711000394,西淀川すずらん会,06-4808-8899,06-4808-8899,555-0032,大阪市西淀川区大和田三丁目３番１７号　,一般社団法人　すずらん,○,○,○,,20,,2011/01/01,,,,
2711001343,あすなろｐｌｕｓ,080-4786-7142, ,555-0032,大阪市西淀川区大和田二丁目１番１号　マンションレスポワール２０２号,一般社団法人福祉助成会,○,○,○,○,20,,2024/03/01,,,,
2711001137,障がい者支援センター　きづき,06-7509-2541,06-7509-2541,555-0043,大阪市西淀川区大野一丁目５番８号　 ,特定非営利活動法人ジャム＆ハッピー,○,○,○,○,20,,2021/02/01,,,,
2719102481,へいわ　らいふ　けあ　じゃぱん　びぃがた,06-7174-5201,06-7635-4747,532-0002,大阪市淀川区東三国二丁目２番１３号　 ,株式会社へいわじゃぱん,○,○,○,○,20,,2022/09/01,,,,
2719102697,あおいろ,06-6676-7110,06-6676-7111,532-0002,大阪市淀川区東三国五丁目１１番１１号　第二キャッスルハイツ１Ｆ,株式会社メディカル,○,○,○,○,20,,2023/07/01,,,,
2719102408,就労継続支援事業Ｂ型カーサ・ソレイユ,06-6396-1701,06-6396-1702,532-0003,大阪市淀川区宮原二丁目１番１７号　新大阪第２ＹＳビル３０１号,株式会社コンストラクション・サービス,○,○,○,○,20,,2022/06/01,,,,
2719102382,ラ・ルーナ,06-6151-3896,06-6151-3897,532-0003,大阪市淀川区宮原二丁目１番１７号　新大阪第２ＹＳビル７０１号,株式会社Ｔ．Ｃｒｅａｔｉｏｎ,○,○,○,○,20,,2022/05/01,,,,
2719102416,せせらぎ,06-6152-9930,06-6152-9990,532-0003,大阪市淀川区宮原三丁目３番３号　ビクトリアスビル５階,株式会社ＫＨ,○,○,○,○,20,,2022/06/01,,,,
2719103026,就労支援センターにこにこⅡ,06-6391-8500,06-6152-7755,532-0005,大阪市淀川区三国本町二丁目１７番９号　 ,株式会社　ラーカイラム,○,○,○,○,20,,2024/10/01,,,,
2719101996,アトリエ,06-6301-1116,06-6301-1139,532-0011,大阪市淀川区西中島六丁目５番４号　サムティフェイム新大阪Ⅱ号館２７０１号、２８０２号,医療法人　遊心会,,,○,,20,,2020/04/01,,,,
2719101921,Ｙｏｕｒ　ｌｉｆｅ　（ユアライフ）,06-6309-3113,06-7635-9255,532-0011,大阪市淀川区西中島七丁目１４番３１号　財形第一新大阪３Ｆ,一般社団法人Ｙｏｕｒ　ｌｉｆｅ,○,○,○,○,20,,2019/08/01,,,,
2719102705,ユアキャリア,06-6885-0303,06-6537-4127,532-0011,大阪市淀川区西中島三丁目２３番９号　中里第二ビル９０１,一般社団法人Ｙｏｕｒ　ｌｉｆｅ,○,○,○,○,20,,2023/08/01,,,,
2719101632,就労支援事業所　ａｇａｉｎ,06-6885-8989,06-6885-9008,532-0011,大阪市淀川区西中島三丁目３番９号　ＡＸＩＳ新大阪ビル－Ⅱ４０１号室,株式会社ａｇａｉｎ,○,○,○,○,20,,2021/04/01,,,,
2719103042,ＡｓＦｉｎｅアジャスト新大阪オフィス,06-6755-9482,06-6755-9483,532-0011,大阪市淀川区西中島三丁目９番１２号　空研ビル６階,ＡｓＦｉｎｅ株式会社,○,○,○,○,20,,2024/10/01,,,,
2719103083,メタゲーム西中島,06-6838-4113,06-6838-4112,532-0011,大阪市淀川区西中島四丁目４番６号　ＮＬＣ新大阪三洋ビル２０１号,エクスホールディングス株式会社,○,○,○,○,20,,2024/11/01,,,,
2719101004,れいんぼ～,06-6195-7869,06-6195-7869,532-0012,大阪市淀川区木川東四丁目１７番９－１０１号　 ,株式会社アイリス,○,○,○,○,20,,2012/10/01,,,,
2719101152,いちょうＢｏｏｋｓ,06-6195-2341,06-6195-2347,532-0012,大阪市淀川区木川東三丁目９番１９号　１Ｆ,株式会社ヒューマン・アイ,○,○,○,○,20,,2014/01/01,,,,
2719101780,Ｂｅ　Ｈａｐｐｙ　スタジオ,06-6195-4447,06-6195-4448,532-0013,大阪市淀川区木川西一丁目１３番１７号　レクシア木川西１０１,一般社団法人ＫＩＺＵＮＡ,○,○,○,○,20,○,2018/12/01,,,,
2719100485,ＦＡＮ,06-6304-3566,06-6304-3588,532-0021,大阪市淀川区田川北一丁目７番９号　 ,社会福祉法人　関西中央福祉会,,○,,,20,○,2007/04/01,,,,
2719101939,ＰＡＬＥＴＴＥ,06-6305-2555,06-6305-2557,532-0021,大阪市淀川区田川北一丁目７番５号　 ,社会福祉法人　関西中央福祉会,○,○,○,○,35,○,2019/10/01,,,,
2719100576,永价,06-6210-1312,06-6210-1312,532-0021,大阪市淀川区田川北一丁目１３番１７号　 ,有限会社　永价,,○,○,,20,,2008/01/01,,,,
2719100915,特定非営利活動法人わーくる太輝,06-6100-1557,06-6100-1558,532-0021,大阪市淀川区田川北一丁目１２番１３号　２階,特定非営利活動法人　わーくる太輝,○,○,○,,20,,2012/04/01,,,,
2719102978,就労継続支援Ｂ型アルテ,080-5633-0033,072-963-5060,532-0022,大阪市淀川区野中南一丁目６番５号　丸善野中ビル４階,株式会社ＡＮＭＲ,,○,○,○,20,,2024/08/01,,,,
2719101475,ジェイ・ブランチよど,06-6303-9430,06-6195-3710,532-0023,大阪市淀川区十三東二丁目３番１０号　 ,社会福祉法人　北摂杉の子会,,○,○,,20,,2016/08/01,,,,
2719101103,就労支援センターにこにこ,06-6391-8500,06-6152-7755,532-0023,大阪市淀川区十三東二丁目１２番３８号　 ,株式会社　ラーカイラム,○,○,○,○,10,○,2021/06/01,,,,
2719101970,Ｂｅ　Ｓｍｉｌｅ　ｗｉｔｈ,06-6195-1730,06-6195-1731,532-0023,大阪市淀川区十三東一丁目８番１２号　松露興産十三ビル５階,株式会社ＥＭＳ,○,○,○,○,20,,2019/12/01,,,,
2719102937,ワンダーフレンズ十三,06-6643-9033,06-6537-1597,532-0024,大阪市淀川区十三本町二丁目１番２０号　十三西口浜ビル３階,株式会社ワンダーフレンズ,○,○,○,○,20,,2024/06/01,,,,
2719102721,こころさぽーと十三,06-6829-7793,06-6829-7793,532-0024,大阪市淀川区十三本町一丁目２０番２０号　４－５階　 ,株式会社こころさぽーと,○,○,○,○,20,○,2023/10/01,,,,
2719102804,たいへんよくできました,06-6755-9113,06-6755-9112,532-0026,大阪市淀川区塚本二丁目２８番１号　福助北野ビル５Ｆ,株式会社ＧＬＰ,○,○,○,○,20,,2024/01/01,,,,
2719102929,エピグラフ,06-6732-9510, ,532-0027,大阪市淀川区田川三丁目３番４号　メゾンルミエール１階,株式会社エピグラフ,○,○,○,○,20,,2024/05/01,,,,
2719101129,あすなろの家,06-6304-7300,06-6304-7300,532-0028,大阪市淀川区十三元今里三丁目１番７２号　社会福祉法人博愛社内,特定非営利活動法人あすなろの家,○,○,○,○,20,,2013/11/01,,,,
2719100469,むつみ,06-6308-7206,06-6308-7299,532-0031,大阪市淀川区加島一丁目６０番３６号　,社会福祉法人　加島友愛会,○,○,○,,15,○,2010/04/01,,,,
2719100477,Ｌｉｎｋ,06-6308-7210,06-6308-7220,532-0031,大阪市淀川区加島一丁目６０番４６号　,社会福祉法人　加島友愛会,,○,,,10,○,2007/04/01,,,,
2719102044,２ｎｄぷれいす,06-4805-8011,06-4805-8012,532-0031,大阪市淀川区加島四丁目１１番１５号　 ,株式会社シーシー,,○,○,,20,,2020/05/01,,,,
2719100774,にいたかの里,06-6392-2710,06-6392-2713,532-0033,大阪市淀川区新高四丁目１５番２８号　,社会福祉法人　平成福祉会,○,○,○,,20,○,2011/04/01,,,,
2719103059,ココフル,06-6306-6716,06-6306-6717,532-0033,大阪市淀川区新高三丁目５番１０号　向井ビル２階２０１号室,株式会社Ｎｏｖｅｌ　Ｐｌｕｓ,○,○,○,○,20,,2024/10/01,,,,
2719103018,夢のかたち,06-6210-6907,06-6210-6908,532-0034,大阪市淀川区野中北一丁目３番２６号　上田ビル２階,株式会社ドリームエンタープライズ,○,○,○,○,20,,2024/09/01,,,,
2719102796,なのはな,06-7493-6344,06-6485-3499,532-0035,大阪市淀川区三津屋南二丁目１０番１５号　２Ｆ,アミンカス合同会社,○,○,○,○,20,,2024/01/01,,,,
2719102895,ｌａ　ｓｅａ　Ｑ,06-6195-2997,06-6195-2996,532-0035,大阪市淀川区三津屋南二丁目１１番９号　ハイツＣＡＢＩＮ,株式会社Ｃａｒｅ　ｍｉｎｔ,○,○,○,○,20,,2024/05/01,,,,
2713003099,リールスワーク井高野,06-6349-7121,06-6349-7221,533-0001,大阪市東淀川区井高野二丁目７番２８号　 ,株式会社たのしい職場,○,○,○,○,20,,2024/03/01,,,,
2713002570,ＲｅＳＴＡ井高野,06-6827-3939,06-6827-3993,533-0001,大阪市東淀川区井高野三丁目２番４２号　 ,株式会社ＯＮＥＳ,○,○,○,○,20,,2022/07/01,,,,
2713002901,ＳＵＮＮＹ上新庄,06-6777-5401,06-7635-8789,533-0004,大阪市東淀川区小松一丁目９番２６号　ヒルズ小松１階,合同会社ＳＵＮＮＹ,○,○,○,○,20,,2023/06/01,,,,
2713000699,フリーダム創生,06-6327-8994,06-6327-5678,533-0005,大阪市東淀川区瑞光三丁目８番２号　 ,社会福祉法人　身体障害者自立協会,○,○,○,○,20,○,2008/03/01,,,,
2713002596,リカバリハウスいちご北大阪,06-7164-8161,06-7164-8161,533-0005,大阪市東淀川区瑞光二丁目１３番２７号　 ,特定非営利活動法人　いちごの会,,,○,,10,○,2022/08/01,,,,
2713002869,タケル中央牧場,06-6990-2929,06-6537-4127,533-0006,大阪市東淀川区上新庄三丁目１４番１１号　 ,株式会社ｋｏｏｋｏｏ＆ｃｏ,○,○,○,○,20,,2023/05/01,,,,
2713002398,スタッフルーム,06-6195-8754,06-6195-8754,533-0007,大阪市東淀川区相川一丁目８番１１号　 ,サン株式会社,○,○,○,○,10,○,2021/12/01,,,,
2713002554,ワイプラス,06-6195-4945,06-6195-4917,533-0007,大阪市東淀川区相川二丁目２０番１０号　太田ビル２階,株式会社ＫＩ２,○,○,○,○,10,○,2022/07/01,,,,
