事業所番号,事業所名称,TEL,FAX,事業所郵便番号,事業所所在地,申請者,児,定員,居,放,定員,保,備考,,
2753220090,ワイワイスマイル守口教室,06-6780-4248,06-6780-4249,570-0014,大阪府守口市藤田町三丁目41番６号ツインコープ守口北館１階,株式会社四谷宮本,,,,●,10,,,大阪府守口市,0
2753220108,どんぐりの家,06-6906-7233,06-6906-7233,570-0021,大阪府守口市八雲東町一丁目５番８号,合同会社鷹山,●,10,,●,10,,,大阪府守口市,0
2753220116,きらら守口,06-7163-7231,06-7162-3161,570-0084,大阪府守口市緑町１番７号グリーンハイツ101号室,一般社団法人芳縁会,●,10,,●,10,,,大阪府守口市,0
2753220124,地域生活総合支援センターいま,06-6780-4370,06-6780-4371,570-0048,大阪府守口市寺方本通二丁目20番４号,社会福祉法人大阪府障害者福祉事業団,,,,●,10,,,大阪府守口市,0
2753220173,あさがおねっと,06-7508-4909,06-7508-4909,570-0006,大阪府守口市八雲西町二丁目12番13号,株式会社あさがおねっと,●,10,,●,10,,,大阪府守口市,0
2753220181,放課後等デイサービスウィズ守口滝井,06-6967-8735,06-6967-8135,570-0076,大阪府守口市滝井西町三丁目７番４号,株式会社エール,●,10,,●,10,,,大阪府守口市,0
2753220199,放課後等デイサービスらいとすぺーす,06-7508-3313,06-7509-4422,570-0029,大阪府守口市来迎町５番17号,合同会社らいとすぺーす,,,,●,10,,,大阪府守口市,0
2753220223,ゆりいか,06-4397-7582,06-4397-7583,570-0081,大阪府守口市日吉町二丁目14番２号,スバル・トータルプランニング株式会社,●,10,,●,10,,,大阪府守口市,0
2753220264,Sunny　Kids,06-6991-9815,06-6991-9816,570-0035,大阪府守口市東光町三丁目５番13号,株式会社富士ベーシック,☆,5,,☆,5,,,大阪府守口市,0
2753220272,YCCもこもこ守口教室,06-6998-7001,06-6998-7002,570-0034,大阪府守口市西郷通一丁目４番14号扇商事ビル３Ｆ,株式会社One Vision,●,10,,●,10,,,大阪府守口市,0
2753220280,放課後等デイサービス　くりーむうさぎ・守口,06-6916-3505,06-6916-3506,570-0005,大阪府守口市八雲中町二丁目１番４号　あんしんらいふ守口１F　B号室,株式会社ブリス,,,,●,10,,,大阪府守口市,0
2753220306,オールケア守口,06-6916-0555,06-6916-0333,570-0012,大阪府守口市大久保町五丁目39番６号,株式会社オールケア守口,☆,5,,☆,5,,,大阪府守口市,0
2753220314,オールケア大日,06-6904-1010,06-6904-1011,570-0015,大阪府守口市梶町一丁目4番14号,株式会社オールケア大日,●・☆,15,●,●・☆,15,●,,大阪府守口市,0
2753220322,ＣＬＡＮ守口,06-6780-3700,06-6780-3710,570-0012,大阪府守口市大久保町二丁目16番17号,株式会社ＣＬＡＮ,,,,●,10,,,大阪府守口市,0
2753220330,オールケア守口　ののはな,06-6967-8700,06-6967-8788,570-0014,大阪府守口市藤田町一丁目52番13号,株式会社オールケア守口,,,,☆,5,,,大阪府守口市,0
2753220348,ハイチーズ,06-6992-6601,06-6992-6606,570-0083,大阪府守口市京阪本通一丁目10番32号　メロディハイム守口Ａ棟201,オンユアサイド株式会社,●,10,,●,10,●,,大阪府守口市,0
2753220363,ＣＯＭＰＡＳＳ発達支援センター守口,06-6991-9138,06-6991-9139,570-0002,大阪府守口市佐太中町一丁目３番５号　ピースフルマンション101号室,株式会社三葉,●,10,,●,10,,,大阪府守口市,0
2753220371,ファミリアキッズ守口,06-6916-5581,06-6916-5582,570-0017,大阪府守口市佐太東町一丁目38番2号REMY佐太ビル2階,株式会社S&S,●,10,,,,,,大阪府守口市,0
2753220389,あさがおねっと守口,06-6115-5778,06-6115-5778,570-0081,大阪府守口市日吉町二丁目14番8号ハイタウン日吉町コーポ1階,株式会社あさがおねっと,●,10,,●,10,,,大阪府守口市,0
2753220397,きららジュニア,06-6998-1470,06-6998-1471,570-0084,大阪府守口市緑町1番4号T's Cube緑町201,一般社団法人芳緑会,●,10,,●,10,,,大阪府守口市,0
2753220405,ビーナスキッズもりぐち,06-6997-6621,06-6997-6622,５７０－００３１,大阪府守口市橋波東之町三丁目２番33号サンリスタ守口,株式会社ビーナス,●,10,,●,10,,,大阪府守口市,0
2753220413,エコルド守口教室,06-4397-7078,06-4397-7188,570-0082,大阪府守口市豊秀町二丁目13番３号サンエイビル４階,株式会社SUNSEAREN,●,10,,●,10,,,大阪府守口市,0
2753220421,ふくろう,06-6901-8850,050-3737-7731,570-0021,大阪府守口市八雲東町二丁目82番35号,株式会社リトルアイデア,●,10,,●,10,,共生型,大阪府守口市,0
2753220439,療育こども園凸（でこ）,06-7479-8371,06-7494-8371,570-0037,大阪府守口市大枝北町12番6号,合同会社ベルフラワー,●,10,,,,,,大阪府守口市,0
2753220447,放課後等デイサービス　メルルキッズ守口,06-6906-5555,06-6906-8100,570-0014,大阪府守口市藤田町五丁目35番９号なるなるビル1階,株式会社ＭＥＲＵＲＵ,●,10,,●,10,,,大阪府守口市,0
2753220454,ＹＣＣもこもこ守口駅前教室,06-6997-9001,06-6997-9002,570-0028,大阪府守口市本町一丁目１番９号本町ビル２階,株式会社Ｏｎｅ　Ｖｉｓｉｏｎ,●,10,,●,10,,,大阪府守口市,0
2753220462,児童発達支援・放課後等デイサービス　ＬＵＭＯ　守口校,06-6786-9608,06-6786-9609,570-0025,大阪府守口市竜田通一丁目６番５号ル・セルポ105号,株式会社Ｇｏｔｏｓｃｈｏｏｌ,●,10,,●,10,,,大阪府守口市,0
2753220470,児童発達支援・放課後等デイサービス　ちえのわ,06-6105-0810,06-6105-0811,570-0031,大阪府守口市橋波東之町一丁目４番18号セブンスヒルⅡ１階,医療法人悠悠堂,●,10,,●,10,,,大阪府守口市,0
2753220488,キッズボンド守口,06-6909-8900,06-6909-8910,570-0021,大阪府守口市八雲東町一丁目７番４号,株式会社ＯＫＤ,●,10,,●,10,,,大阪府守口市,0
2753220504,児童発達支援・放課後等デイサービス　ＬＵＭＯ　守口第二校,06-6780-9704,06-6780-9705,570-0025,大阪府守口市竜田通一丁目６番５号　ル・セルポ　106号,株式会社ＶｉＡ,●,10,,●,10,,,大阪府守口市,0
2753220512,あけぼし,06-6995-4793,06-6995-4793,570-0041,大阪府守口市東郷通三丁目11番25号　レックスガーデン鶴見緑地101,合同会社あけ星,●,10,,●,10,,,大阪府守口市,0
2753220520,みっくべりー,06-6914-9276,06-6914-9277,570-0078,大阪府守口市平代町４番10号,株式会社ミラエミオ,●,10,,●,10,,,守口市,35
2753220538,児童発達支援・放課後等デイサービス　きらめき,06-6115-5416,06-6115-5417,570-0092,大阪府守口市日光町３番６号　第３ニシキマンション１階104号,株式会社輝,●,10,,●,10,,,守口市,36
2753220546,ｓｔｅｐ,06-6991-2595,06-6991-2656,570-0072,大阪府守口市早苗町６番９号,学校法人　吉川学園,,,,,,●,,守口市,37
2754220024,児童発達支援事業所すくすく親子教室,072-620-9817,072-620-9833,567-0031,大阪府茨木市春日三丁目13番5号,茨木市,●,48,,,,,,大阪府茨木市,0
2754220032,さくらんぼるーむ,072-634-5624,072-634-5625,567-0892,大阪府茨木市並木町1番6号　茨木スクエアービル201・202号,社会福祉法人育成福祉会,●,20,,,,,,大阪府茨木市,0
2754220057,ひまわり,072-623-5511,072-623-5550,567-0806,大阪府茨木市庄一丁目13番27号,社会福祉法人秀幸福祉会,,,,●,10,,,大阪府茨木市,0
2754220081,デイサービスなかよし,072-627-9005,072-622-9393,567-0036,大阪府茨木市上穂積二丁目5番16号,特定非営利活動法人ふれあいぽっぽ,●,10,,●,10,,,大阪府茨木市,0
2754220107,発達支援センターれふあ,072-641-4512,072-641-3173,567-0059,大阪府茨木市清水一丁目28番15号,社会福祉法人慶徳会,●,10,,●,10,,,大阪府茨木市,0
2754220115,ハーモニーデイ彩都,072-641-3211,072-641-3433,567-0085,大阪府茨木市彩都あさぎ一丁目2-18-202,特定非営利活動法人ナース・ワン,●,10,,●,10,,,大阪府茨木市,0
2754220123,生活介護事業所あいの,072-627-1919,072-627-1940,567-0012,大阪府茨木市東太田1丁目4番39号,社会福祉法人藍野福祉会,,,,☆,5,,,大阪府茨木市,0
2754220156,ハイトップファミリー真砂,072-652-3733,072-652-3734,567-0851,大阪府茨木市真砂一丁目28番17号１Ｆ,株式会社日本マックスケア,,,,●,10,,,大阪府茨木市,0
2754220172,フォルテひまわり,072-622-6081,072-622-6082,567-0806,大阪府茨木市庄一丁目７番27号ピアフォルテ102号・103号,社会福祉法人秀幸福祉会,,,,●,10,,,大阪府茨木市,0
2754220206,発達サポートセンターつむぎ,072-622-1818,072-622-1886,567-0888,大阪府茨木市駅前一丁目８番20号１階右側,一般社団法人明日へのつむぎ,,,,●,10,,,大阪府茨木市,0
2754220214,ジョイジョイ,072-635-4077,072-635-2115,567-0891,大阪府茨木市水尾二丁目７番18号,宗教法人日本同盟基督教団茨木聖書教会,●,10,,●,10,,,大阪府茨木市,0
2754220222,ドリームケアデイセンター茨木,070-5650-7761,072-648-7300,567-0032,大阪府茨木市西駅前町４番Ｂ102・203号,一般社団法人泉友福祉会,☆,5,,☆,5,,,大阪府茨木市,0
2754220230,こども発達支援センター風,072-636-0110,072-646-6890,567-0861,大阪府茨木市東奈良三丁目16番14号茨木市南茨木多世代交流センター２階特別利用保育室,社会福祉法人大阪府障害者福祉事業団,●,15,,●,15,●,,大阪府茨木市,0
2754220271,わくわくクラブ茨木校,072-637-2515,072-637-2516,567-0829,大阪府茨木市双葉町13番25号つじせビル４階,株式会社興学社,●,10,,●,10,,,大阪府茨木市,0
2754220289,なないろKids,072-609-5276,072-697-9878,567-0031,大阪府茨木市春日三丁目14番41号　メゾン春日101号室,株式会社ドリームリンク,●,10,,●,10,,,大阪府茨木市,0
2754220297,放課後等デイサービス輝茨木館,072-646-8713,072-646-8714,567-0865,大阪府茨木市横江二丁目８番43号C-POINTビル303号室,セントラルポイント株式会社,,,,●,10,,,大阪府茨木市,0
2754220305,こどもサポート教室「きらり茨木駅前校,072-621-3810,072-621-3810,567-0031,大阪府茨木市春日一丁目４番13号明日香ビル302号室,株式会社クラ・ゼミ,●,10,,●,10,,,大阪府茨木市,0
2754220321,パルケあゆむ,072-640-0071,072-640-0081,567-0057,大阪府茨木市豊川二丁目６番23号,社会福祉法人とよかわ福祉会,●,10,,●,10,,,大阪府茨木市,0
2754220339,あいの放課後等デイサービス茨木,072-631-2101,072-646-8465,567-0011,大阪府茨木市高田町２番23号１Ｆ,社会福祉法人藍野福祉会,●,10,,●,10,,,大阪府茨木市,0
2754220347,あいの放課後等デイサービスあい,072-640-3511,072-640-3512,567-0007,大阪府茨木市南安威二丁目５番５号,社会福祉法人藍野福祉会,●,10,,●,10,,,大阪府茨木市,0
2754220362,７th　Sense　彩都駅前,072-628-5517,072-628-5517,567-0086,大阪府茨木市彩都やまぶき一丁目１番20号ｼﾞｵ彩都ﾌﾟﾚﾐｱﾑﾃﾗｽ101号,株式会社キャニオン・マインド,●,10,,●,10,,,大阪府茨木市,0
2754220370,プレインジム茨木教室,072-623-2860,072-344-5219,567-0882,大阪府茨木市元町２番20号,株式会社プレイン,●,10,,●,10,,,大阪府茨木市,0
2754220388,こども発達サポートせーの,072-646-7315,072-646-7316,567-0803,大阪府茨木市中総持寺町５番４号エクセレント中村１階101号室,株式会社ミタス,●,10,,●,10,,,大阪府茨木市,0
2754220404,なないろHome,072-657-7909,072-657-7910,567-0027,大阪府茨木市西田中町７番15号　ドゥエルやま１階101号室,株式会社ドリームリンク,●,10,,●,10,,,大阪府茨木市,0
2754220412,こたふくの部屋,072-697-8286,072-697-8287,567-0850,大阪府茨木市真砂玉島台10番26号,株式会社ＷＡＮ,●,10,,●,10,,,大阪府茨木市,0
2754220420,リールスメイト茨木郡,072-647-2921,072-647-2922,567-0072,大阪府茨木市郡五丁目22番34号ブランドール山中１階,株式会社ケア２１,●,10,,●,10,,,大阪府茨木市,0
2754220438,リールスメディカル茨木玉島台,072-655-9821,072-655-9822,567-0850,大阪府茨木市真砂玉島台５番９号ポルトボヌール１階,株式会社ケア２１,☆,5,,☆,5,,,大阪府茨木市,0
2754220446,放課後等デイサービス　ナーチャーハーツ,072-665-8300,072-665-8302,567-0805,大阪府茨木市橋の内二丁目２番26号クボタコーポ１階,株式会社ナーチャーハーツ,,,,●,10,,,大阪府茨木市,0
2750920312,プレインジム茨木駅前教室,072-668-6860,072-344-5219,567-0882,大阪府茨木市元町１番９号,株式会社プレイン,●,10,,●,10,,,大阪府茨木市,0
2754220487,YCCもこもこ茨木・吹田教室,072-695-5866,072-695-5866,567-0042,大阪府茨木市宇野辺二丁目13番10号,Ｓｕｎｎｙ　Ｌａｂ株式会社,●,10,,●,10,,,大阪府茨木市,0
2754220495,放課後等デイサービス　ウィズ・ユー茨木,072-657-8599,072-657-8599,567-0852,大阪府茨木市小柳町10番17号グランドハイツ小柳２階201・２・３号,株式会社Ｅｎｊｏｙ　Ｌｅａｒｎｉｎｇ,●,10,,●,10,,,大阪府茨木市,0
2754220503,放課後等デイサービスかしのき教室,072-665-9226,072-665-9226,567-0803,大阪府茨木市大手町８番13号日本医科薬品(株)ビルディング403,一般社団法人Ｎｅｘｔ　Ｃｕｒｅ,●,10,,●,10,,,大阪府茨木市,0
2754220529,運動療育スタジオｓｐａｒｋ南茨木,072-625-3809,072-625-3810,567-0876,大阪府茨木市天王二丁目５番10号阪急グリーンプラザ２階Ａ区画,株式会社クーバル・ウエルケア,●,10,,●,10,,,大阪府茨木市,0
2754220537,Ｌｉｅｎ茨木,072-631-2007,072-631-2008,567-0818,大阪府茨木市本町６番８号ナカヤビル１階,一般社団法人Ｅｖｅｒ　Ｇｒｅｅｎ,☆,5,,☆,5,,,大阪府茨木市,0
2754220545,社会体験スタジオＳｋｉｌｌｓ南茨木,072-645-4962,072-645-4960,567-0876,大阪府茨木市天王二丁目５番１０号阪急グリーンプラザ２階Ｂ区画,株式会社クーバルＣ３,●,10,,●,10,,,大阪府茨木市,0
2754220552,なないろＳｔｕｄｙ,072-646-5818,072-646-6239,567-0031,大阪府茨木市春日四丁目５番11号　サンハイツ穂積102号室,株式会社ドリームリンク,●,10,,●,10,,,大阪府茨木市,0
2754220560,なないろＫｉｄｓ２ｎｄ,072-697-9411,072-697-9878,567-0031,大阪府茨木市春日三丁目14番41号　メゾン春日101号室,株式会社ドリームリンクプラス,●,10,,●,10,,,大阪府茨木市,0
2754220578,こどもサポート教室「きらり」阪急茨木校,072-621-1255,072-621-1255,567-0816,大阪府茨木市永代町８番８号国里メディカルビル５Ｆ502号503号,株式会社クラ・ゼミ,●,10,,●,10,,,大阪府茨木市,0
2754220586,えんりっち,072-665-4343,072-665-4342,567-0007,大阪府茨木市南安威二丁目６番20号田中ビル２階東店舗,ＥｎＲｉｃｈ合同会社,●,10,,●,10,●,,大阪府茨木市,0
2754220594,あぽろ放課後等支援事業所,072-646-7428,072-646-7429,567-0831,大阪府茨木市鮎川二丁目32番25号アライブ21　102号,ＵＮＩＸ株式会社,,,,●,10,,,大阪府茨木市,0
2754220602,児童デイサービス　みのり,072-646-6596,072-646-6598,567-0817,大阪府茨木市別院町７番５号　三友ビル３階302号,株式会社　ｍｅ,☆,5,●,☆,5,,,大阪府茨木市,0
2754220610,ＬＩＴＡＬＩＣＯジュニア茨木教室,072-645-8250,072-645-8251,567-0031,大阪府茨木市春日二丁目２番12号　茨木セントラルビル301,株式会社LITALICOパートナーズ,●,10,,,,●,,大阪府茨木市,0
2754220628,アスト体操クラブ　児童発達支援・放課後等デイサービス,072-635-2011,072-635-2015,567^0897,大阪府茨木市主原町５番15号シャン・リ・フォーレビル１階,プロードス株式会社,●,10,,●,10,,,大阪府茨木市,0
2754220636,ハグマザリー,070-8581-8418,,567-0009,大阪府茨木市山手台七丁目8番3号,合同会社　Ｉマザリー,,,,☆,5,,,大阪府茨木市,0
2754220644,リールきっず朋,072-636-6220,072-636-6221,567-0851,大阪府茨木市真砂二丁目16番15号　ヌーヴェルハイム１階,一般社団法人　幸朋樹,●,10,,●,10,,,大阪府茨木市,0
2754220651,なないろＳｔｕｄｙ２ｎｄ,072-648-5471,072-648-5709,567-0818,大阪府茨木市本町６番13号マプログレイスⅡ１階,株式会社ドリームリンク,●,10,,●,10,,,大阪府茨木市,0
2754220669,スリーケア真砂こどもセンター,072-664-1233,072-663-5564,567-0851,大阪府茨木市真砂一丁目13番２号エクセルハイムⅢ103号,合同会社アポージオ,●,10,,●,10,,,大阪府茨木市,0
2754220677,ふわふわのおうち,072-641-8857,072-628-2287,567-0057,大阪府茨木市豊川一丁目34番３号２階,株式会社ふわふわ,●,10,,●,10,,,大阪府茨木市,0
2754220685,ツインズリハビリ児童発達支援・放課後等デイサービス,072-626-7205,072-626-7206,567-0032,大阪府茨木市西駅前町６番36号　ラビアンヌ・エスポワール201号室,株式会社Twins　family,●,10,,●,10,●,,大阪府茨木市,0
2754220719,Ａｍｂｉｔｉｏｎ　Ｋｉｄｓ,070-1810-5309,,567-0804,大阪府茨木市総持寺台１番11号　ホクセツ・メディカルモール４－Ａ,ａｍｂｉｔｉｏｎ合同会社,●,10,,●,10,,,大阪府茨木市,0
2754220727,児童発達支援・放課後等デイサービス　いろどり,072-657-8312,072-657-8312,567-0817,大阪府茨木市別院町６番43号２階,株式会社ネイヴル,●,10,,●,10,,,大阪府茨木市,0
2754220735,ツインズリハビリ２ｎｄ児童発達支援・放課後等デイサービス,072-631-3290,072-631-3291,567-0882,大阪府茨木市元町７番６号　野上ビル１Ｆ,株式会社Ｔｗｉｎｓ　ｆａｍｉｌｙ,●,10,,●,10,,,大阪府茨木市,0
2754220743,スタサポ茨木校,072-657-9938,,567-0031,大阪府茨木市春日一丁目５番17号クラインフェルト２階２号室,ＬａＺｏ株式会社,●,10,,●,10,,,大阪府茨木市,0
2754220750,コペルプラス　茨木教室,072-646-5851,072-646-5852,567-0888,大阪府茨木市駅前三丁目２番５号両泉ビル４階,株式会社クラ・ゼミ,●,10,,,,,,大阪府茨木市,0
2754220768,ひまわり　はぁと茨木総持寺教室,072-657-9836,072-657-8937,567-0806,大阪府茨木市庄二丁目19番13号　サンプラザ総持寺２階,株式会社Ｇｅｍｔ　ｗａｐ,●,10,,●,10,,,茨木市,57
2754520027,ＩＬＩＳ　ＣＬＵＢ泉佐野,072-468-6973,072-468-6983,598-0034,大阪府泉佐野市長滝281－５,株式会社アイリス,●,10,,●,10,,,大阪府泉佐野市,0
2754520068,アスレチッククラブこっとん,072-425-0843,072-425-0845,598-0032,大阪府泉佐野市新安松一丁目４番16号,一般社団法人SEED,●,10,,●,10,,,大阪府泉佐野市,0
2754520076,放課後等デイサービスりーふ,072-467-1855,072-467-1880,598-0021,大阪府泉佐野市日根野415番地,株式会社土原造園,,,,●,10,,,大阪府泉佐野市,0
2754520134,いいね放課後等デイサービス,072-465-1171,072-465-1172,598-0034,大阪府泉佐野市長滝3839番地の１,いいね合同会社,●,10,,●,10,,,大阪府泉佐野市,0
2754520142,放課後等デイサービスぴあーちぇ,072-424-7191,072-424-7191,598-0024,大阪府泉佐野市上之郷2221番地の１,株式会社ひなた,●,10,,●,10,,,大阪府泉佐野市,0
2754520175,良心地,072-465-3114,072-465-3114,598-0033,大阪府泉佐野市南中安松1281番地の5,合同会社いごこち,,,,●,10,,,大阪府泉佐野市,0
2754520183,放課後等デイサービスめーぷる,072-493-2335,072-493-2336,598-0021,大阪府泉佐野市日根野584番地,株式会社Leaf,,,,●,10,,,大阪府泉佐野市,0
2754520191,放課後等デイサービスオリオリ,072-425-2215,072-425-2215,598-0042,大阪府泉佐野市西本町14ー18,合同会社大北,,,,●,10,,,大阪府泉佐野市,0
2754520217,関西メディカルサポート療養型デイサービスセンター,072-458-3455,072-458-8802,598-0013,大阪府泉佐野市中町一丁目４番32号,有限会社オフィス環,☆,5,,,,,,大阪府泉佐野市,0
2754520225,キャンパスラビット,072-442-8112,072-468-7106,598-0032,大阪府泉佐野市新安松二丁目２番37号１,株式会社ラビット,●,10,,●,10,,,大阪府泉佐野市,0
2754520233,運動＆学習療育あなたが宝モノ泉佐野教室,072-463-1203,072-463-1202,598-0001,大阪府泉佐野市上瓦屋687-１松浪ビル３Ｆ,株式会社いのちの木,●,10,,●,10,●,,大阪府泉佐野市,0
2754520241,まいるーむ放課後こども教室ジャンプ,072-462-7566,072-462-7566,598-000２,大阪府泉佐野市中庄1740番地１新田寮２階,株式会社ＫＴＡＪ,●,10,,●,10,,,大阪府泉佐野市,0
2754520258,ラビット,072-468-7009,072-468-7106,598-0032,大阪府泉佐野市新安松二丁目２番37号,株式会社ラビット,●,10,,●,10,,,大阪府泉佐野市,0
2754520274,ハピスポ泉佐野,072-465-7773,072-465-7774,598-0033,大阪府泉佐野市南中安松749番地１　１階,株式会社シンシア,,,,●,10,,,大阪府泉佐野市,0
2754520282,ぴんくイルカ,072-477-0039,072-477-7088,598-0006,大阪府泉佐野市市場西三丁目10番７号　アーバンウェルネス202号室,合同会社みらい,●,10,,●,10,,,大阪府泉佐野市,0
2754520308,ゆまにて,072-458-7522,072-458-7523,598-0002,大阪府泉佐野市中庄334番地の３,特定非営利活動法人ゆまにて,●,10,,●,10,●,,大阪府泉佐野市,0
2754520316,放課後等デイサービスＢＡ－ＮＡはぐらざき,072-466-8302,072-466-8303,598-0037,大阪府泉佐野市羽倉崎上町三丁目２番32,株式会社トライズ,●,10,,●,10,,,大阪府泉佐野市,0
2754520324,放課後等デーサービス　は・ぐ・な,072-465-5897,072-465-9897,598-0034,大阪府泉佐野市長滝3854番地,特定非営利活動法人倖譲会,●・☆,15,,●・☆,15,,,大阪府泉佐野市,0
2754520332,ＲｅｓｔａＲｔ,080-4016-1934,072-468-7106,598-0034,大阪府泉佐野市長滝1667番地の１コスモプラザC号,株式会社ラビット,●,10,,●,10,,,大阪府泉佐野市,0
2754520340,ＳＰＥＣ,072-468-6890,072-468-6891,598^0034,大阪府泉佐野市長滝1246番１　村上レジデンス１階,株式会社Ｖｉｅｎｔｏ,,,,●,10,,,大阪府泉佐野市,0
2754520357,キッズプレイスハル,072-462-8686,072-462-8687,598-0062,大阪府泉佐野市下瓦屋三丁目１番１号　有本ビル１階西側,有限会社ハルコーポレーション,●,10,,●,10,,,大阪府泉佐野市,0
2754520365,そら上瓦屋,072-442-2209,072-453-3125,598-0001,大阪府泉佐野市上瓦屋296番地松浪貸店舗事務所Ａ号室,株式会社ジョワ,●,10,,●,10,,,大阪府泉佐野市,0
2754520373,まいるーむ放課後こども教室　鶴原校,072-493-9777,072-493-2995,598-0071,大阪府泉佐野市鶴原1545番地の１,株式会社ＫＴＡＪ,●,10,,●,10,,,大阪府泉佐野市,0
2754920029,わくわくクラブ,0721-55-2959,0721-55-2959,584-0045,大阪府富田林市山中田町２丁目15-27,特定非営利活動法人子ども・若もの支援ネットワーク大阪,●,10,,●,10,,,大阪府富田林市,0
2754920037,四天王寺和らぎ苑,0721-29-0836,0721-29-3916,584-0082,大阪府富田林市向陽台1-3-21,社会福祉法人四天王寺福祉事業団,☆,5,●,☆,5,●,,大阪府富田林市,0
2754920078,陽だまり,0721-21-6449,0721-21-5571,584-0048,大阪府富田林市西板持町二丁目１番38号附１,一般社団法人スマイル・１,,,,●,10,,,大阪府富田林市,0
2754920086,放課後等デイサービスアイアイ,0721-26-8077,0721-69-4300,584-0071,大阪府富田林市藤沢台六丁目２番４号,株式会社日泉,,,,●,10,,,大阪府富田林市,0
2754920094,るんるんジャンプ,0721-28-0208,0721-28-0208,584-0071,大阪府富田林市藤沢台一丁目４番20号２階,合同会社Ｊoinハート,,,,●,10,,,大阪府富田林市,0
2754920110,放課後デイサービス運動療育バード,0721-24-0905,0721-24-0905,584-0066,大阪府富田林市錦織北一丁目５番10号,株式会社ＮＥＳＴ,,,,●,10,,,大阪府富田林市,0
2750720019,こども発達支援センターＳun,0721-26-7331,0721-26-7377,584-0012,大阪府富田林市粟ヶ池町2969番地の５富田林市市民会館地下1階,社会福祉法人大阪府障害者福祉事業団,●,10,,●,10,●,,大阪府富田林市,0
2754920136,放課後等デイサービスそら,0721-81-0417,0721-81-0417,584-0036,大阪府富田林市甲田二丁目20番14号２階,特定非営利活動法人志塾フリースクールラシーナ,,,,●,10,,,大阪府富田林市,0
2754920144,ここなくらぶ向陽台,0721-40-2310,0721-40-2311,584-0082,大阪府富田林市向陽台二丁目２番13号Ｙ１ビル１階,株式会社シンシアリティー,●,10,,●,10,,,大阪府富田林市,0
2754920151,放課後等デイサービスつばさ,0721-28-6677,0721-28-6688,584-0082,大阪府富田林市向陽台二丁目７番29号向陽台ビル２階,株式会社南ウイング,,,,●,10,,,大阪府富田林市,0
2754920177,放課後等デイサービス　こころん,0721-51-0510,0721-51-4959,584-0086,大阪府富田林市津々山台二丁目４番３号Ｒｉｎｏn１Ｄ号室,合同会社こぼうし,,,,●,10,,,大阪府富田林市,0
2754920185,療育スクール did it,0721-26-8810,0721-26-8810,584-0069,大阪府富田林市錦織東二丁目６番10号,合同会社POPO,●,10,,●,10,,,大阪府富田林市,0
2754920193,ｂｏｎキッズ富田林,0721-55-2266,0721-55-2266,584-0024,大阪府富田林市若松町二丁目３番２号　太陽ビル301号室,合同会社オフィスぼん,●,10,,●,10,,,大阪府富田林市,0
2754920201,放課後等デイサービスつばさネクスト,0721-26-8668,0721-26-8669,584-0082,大阪府富田林市向陽台五丁目７番17号,株式会社南ウイング,●,10,,●,10,,,大阪府富田林市,0
2754920219,きらりウキウキルーム,0721-21-6341,0721-21-6344,584-0067,大阪府富田林市錦織南一丁目16番18号　古賀ビル１・２階,株式会社エーシン,●,10,,●,10,,,大阪府富田林市,0
2754920227,放課後等デイサービスてんとん,0721-26-7715,0721-26-7716,584-0073,大阪府富田林市寺池台三丁目１番18号,株式会社エクレール,●,10,,●,10,,,大阪府富田林市,0
2754920235,放課後デイサービス運動療育バード須賀,0721-68-7401,0721-68-7402,584-0062,大阪府富田林市須賀二丁目12番５号,株式会社ＮＥＳＴ,,,,●,10,,,大阪府富田林市,0
2754920243,放課後等デイサービス　ココ,0721-55-2233,0721-55-2100,584-0028,大阪府富田林市中野町西一丁目1502番地５,社会福祉法人　輝,●,10,,●,10,,,大阪府富田林市,0
2754920268,かみひこうき　昭和町,0721-26-7075,0721-26-7076,584-0025,大阪府富田林市若松町西一丁目1903番地１寺西ビル２階,株式会社Ｔ－ａｎｇｌｅ,●,10,,●,10,,,大阪府富田林市,0
2754920276,スカフォルズ,0721-70-7432,0721-70-7433,584-0062,大阪府富田林市須賀二丁目19番８号,ハイマスト合同会社,●,10,,●,10,●,,大阪府富田林市,0
2754920292,TOMODACHI富田林,0721-28-5608,0721-28-5608,584-0071,大阪府富田林市藤沢台六丁目23番13号　シンフォニーレジデンス藤沢台107号,合同会社Childs,☆,5,,☆,5,,,大阪府富田林市,0
2754920300,放課後等デイサービスてんとん２くみ,0721-25-1151,0721-26-7716,584-0025,大阪府富田林市若松町西一丁目1882番地１　麻野ビル203号,株式会社エクレール,●,10,,●,10,,,大阪府富田林市,0
2754920318,きらり錦織ルーム,0721-55-3151,0721-55-3152,584-0067,大阪府富田林市錦織南二丁目７番５号　３階,株式会社エーシン,●,10,,●,10,,,大阪府富田林市,0
2754920326,よねの家,0721-26-7046,,584-0014,大阪府富田林市川面町一丁目10番14号,株式会社メロディー,●,10,,●,10,,,大阪府富田林市,0
2754920334,ウィル,0721-69-6081,0721-69-6081,584-0048,大阪府富田林市西板持町七丁目15番18号,一般社団法人大阪青少年支援機構ポラリス,●,10,,●,10,,,大阪府富田林市,0
2754920342,こどもサポートみかん,0721-26-8233,0721-26-8234,584-0001,大阪府富田林市梅の里二丁目32番５,株式会社ｐｌａｔｚ,●,10,,●,10,●,,大阪府富田林市,0
