申請者－名称,事業所名称,事業所郵便番号,事業所所在地,区名,事業所－電話番号,事業所－FAX番号,サービス種類,事業所番号,指定年月日,対象-身体障害者,対象-知的障害者,対象-障害児,対象-精神障害者
株式会社 ニチイ学館,ニチイケアセンター深井,599-8271,大阪府堺市中区深井北町646-2,中区,072-276-0662,072-276-0663,生活介護,2716101890,平成31年4月1日,あり,あり,なし,あり
特定非営利活動法人げんき,げんき作業所,599-8271,大阪府堺市中区深井北町3436,中区,072-277-1802,072-277-1802,生活介護,2716101023,平成29年4月1日,あり,あり,なし,あり
株式会社 輝,デイサービスセンターヴィーナス,599-8272,大阪府堺市中区深井中町1056番地20,中区,072-242-8718,072-242-8851,生活介護,2716102146,令和2年4月1日,あり,あり,なし,あり
社会福祉法人 ユウの家,チャレンジハウスどんどん,599-8272,大阪府堺市中区深井中町1923番地2,中区,072-277-6126,072-350-8648,生活介護,2716101122,平成25年4月1日,あり,あり,なし,あり
ＳＣＪ株式会社,障がい者デイサービス ワーカウト堺,599-8273,大阪府堺市中区深井清水町3847,中区,072-242-4011,03-6421-2370,生活介護,2716102617,令和5年7月1日,あり,あり,なし,あり
社会福祉法人 ばなな,サニー・サイト,599-8273,大阪府堺市中区深井清水町3650番1,中区,072-281-3359,072-275-6250,生活介護,2716100678,平成25年6月1日,あり,あり,なし,なし
社会福祉法人 ばなな,サニー・ばなな,599-8273,大阪府堺市中区深井清水町1736-2,中区,072-275-6702,072-275-6703,生活介護,2716101940,令和元年7月1日,あり,あり,なし,なし
特定非営利活動法人 レアレア,作業所ホクレア,599-8275,大阪府堺市中区東八田397番地1,中区,072-275-9595,072-275-9596,生活介護,2716102245,令和3年4月1日,あり,あり,なし,あり
株式会社リカバリーサポート,リカバリーサポート デイケアセンター,599-8236,大阪府堺市中区深井沢町3265 ミラージュ昌栄2F-B号室,中区,072-275-4016,072-275-4017,自立訓練（生活訓練）,2716102724,令和6年4月1日,なし,あり,なし,あり
株式会社 inC,インク,599-8247,大阪府堺市中区東山477番地2,中区,072-234-5900,072-234-5901,自立訓練（生活訓練）,2716102120,令和2年4月1日,あり,あり,なし,あり
一般社団法人シグナル,グロウアップ,599-8266,大阪府堺市中区毛穴町21番地1,中区,072-247-5445,072-247-5446,就労移行支援（一般型）,2716101551,平成29年3月1日,あり,あり,なし,あり
医療法人杏和会,エンワーク,599-8273,大阪府堺市中区深井清水町3544-3 アンシャンテ深井１Ｆ,中区,072-270-3318,072-270-3318,就労移行支援（一般型）,2716101528,平成29年1月1日,なし,なし,なし,あり
合同会社つぼみ,つぼみ堺,599-8232,大阪府堺市中区新家町765-8 プレジオカーサ2番館1階,中区,072-320-9189,072-320-9189,就労継続支援（Ａ型）,2716102732,令和6年4月1日,あり,あり,なし,あり
合同会社ひまわり,就労継続支援やしの樹,599-8265,大阪府堺市中区八田西町二丁13-17,中区,072-289-6603,072-289-6603,就労継続支援（Ａ型）,2716102674,令和5年12月1日,なし,あり,なし,あり
株式会社ＲＩＳＥｔｅｃｈ,ライズテック,599-8273,大阪府堺市中区深井清水町3282番地尾崎ビル2階･3階,中区,072-281-7077,072-281-7078,就労継続支援（Ａ型）,2716102633,令和5年7月1日,あり,あり,なし,あり
合同会社つぼみ,つぼみ堺,599-8232,大阪府堺市中区新家町765-8 プレジオカーサ2番館1階,中区,072-320-9189,072-320-9189,就労継続支援（Ｂ型）,2716102732,令和6年4月1日,あり,あり,なし,あり
社会福祉法人 みのりの会,みのりの会作業所,599-8232,大阪府堺市中区新家町317番地1,中区,072-239-8002,072-239-8002,就労継続支援（Ｂ型）,2716100744,平成22年9月1日,なし,あり,なし,なし
株式会社いろは,みっけ,599-8233,大阪府堺市中区大野芝町163-1,中区,072-349-9901,072-349-9901,就労継続支援（Ｂ型）,2716102823,令和7年1月1日,あり,あり,なし,あり
特定非営利活動法人 こうせん,ワークステーションこうせん大野芝,599-8233,大阪府堺市中区大野芝町273番地1,中区,072-290-7427,072-290-7428,就労継続支援（Ｂ型）,2716102013,令和元年12月1日,あり,あり,なし,あり
医療法人眞祥会,ふくろう,599-8236,大阪府堺市中区深井沢町3287番地 アシストビル2F,中区,072-200-3360,072-246-9968,就労継続支援（Ｂ型）,2716102583,令和5年5月1日,なし,あり,なし,あり
株式会社ＰＥＡＣＥ,カラーピース作業所,599-8236,大阪府堺市中区深井沢町3256番地,中区,080-6319-4390,072-242-8226,就労継続支援（Ｂ型）,2716102526,令和5年1月1日,なし,あり,なし,あり
株式会社リカバリーサポート,リカバリーサポート デイケアセンター,599-8236,大阪府堺市中区深井沢町3265 ミラージュ昌栄2F-B号室,中区,072-275-4016,072-275-4017,就労継続支援（Ｂ型）,2716102724,令和6年4月1日,なし,あり,なし,あり
合同会社 ｎｉｃｏｔｔｏ,作業所ｎｉｃｏｔｔｏ,599-8236,大阪府堺市中区深井沢町3195番地 セリバノーブル1Ｆ,中区,072-281-3077,072-281-3077,就労継続支援（Ｂ型）,2716102336,令和4年3月1日,あり,あり,なし,あり
合同会社Ｍｉｒａｉ,リハスワーク堺深井,599-8236,大阪府堺市中区深井沢町3324番地 ＦＵＫＡＩビル1階,中区,072-242-3812,072-242-3813,就労継続支援（Ｂ型）,2716102815,令和6年12月1日,あり,あり,なし,あり
合同会社 Ｒｈｙｚｍ,未来図,599-8237,大阪府堺市中区深井水池町2835-11,中区,072-275-7333,072-275-7323,就労継続支援（Ｂ型）,2716102153,令和2年5月1日,なし,あり,なし,あり
合同会社 寿,てとて,599-8237,大阪府堺市中区深井水池町3080番地ダイソーユニットＤ号,中区,072-260-4066,072-260-4076,就労継続支援（Ｂ型）,2716101965,令和元年9月1日,なし,あり,なし,あり
株式会社 キャン,コミュニティワークショップキャン,599-8238,大阪府堺市中区土師町二丁25番地1 センターコートアネックス101,中区,072-270-0380,072-270-0385,就労継続支援（Ｂ型）,2716100702,平成22年7月1日,あり,あり,なし,あり
社会福祉法人ピノキオ福祉会,ピノキオ作業所,599-8238,大阪府堺市中区土師町三丁32番27号,中区,072-260-9625,072-260-9626,就労継続支援（Ｂ型）,2716100751,平成22年11月1日,なし,あり,なし,なし
株式会社 光,スクエアりりいキッチン,599-8241,大阪府堺市中区福田554番地5,中区,072-288-6002,072-288-6003,就労継続支援（Ｂ型）,2716102310,令和4年1月1日,あり,あり,なし,あり
株式会社シクロ,アンクラブ,599-8242,大阪府堺市中区陶器北1689番地4 北尾ビル2階・3階,中区,072-288-6075,072-288-6076,就労継続支援（Ｂ型）,2716102831,令和7年1月1日,あり,あり,なし,あり
社会福祉法人 きぼうの会,きぼうの風,599-8247,大阪府堺市中区東山107番地2,中区,072-234-6686,072-234-6686,就労継続支援（Ｂ型）,2716100504,平成20年3月1日,あり,あり,なし,あり
特定非営利活動法人 フェニックス会,フェニックス,599-8247,大阪府堺市中区東山721番地4,中区,072-234-2341,072-234-2341,就労継続支援（Ｂ型）,2716100652,平成22年3月1日,なし,なし,なし,あり
一般社団法人シャロームケア,ブレストワークスさかい,599-8251,大阪府堺市中区平井533-1,中区,072-270-9222,072-270-2200,就労継続支援（Ｂ型）,2716102567,令和5年5月1日,あり,あり,なし,あり
株式会社 りーどけあ,就労継続支援Ｂ型こはな,599-8251,大阪府堺市中区平井124-1,中区,072-320-9086,072-270-9010,就労継続支援（Ｂ型）,2716102369,令和4年4月1日,あり,あり,なし,あり
特定非営利活動法人 暁会,あゆら作業所,599-8251,大阪府堺市中区平井17番地2,中区,072-201-7778,072-201-7054,就労継続支援（Ｂ型）,2716101478,平成28年11月1日,あり,あり,なし,あり
特定非営利活動法人 Ｃ・ドリームの会,さくら作業所,599-8261,大阪府堺市中区堀上町158-4,中区,072-220-6027,072-220-6027,就労継続支援（Ｂ型）,2716101114,平成25年4月1日,あり,あり,なし,あり
有限会社きいちご畑,きいちご１,599-8261,大阪府堺市中区堀上町328番地5,中区,080-7161-6532,072-272-4667,就労継続支援（Ｂ型）,2716102682,令和6年3月1日,あり,あり,なし,あり
株式会社 ＬＥＡＰ－Ａ,Ｄｅａｒ－Ｌ（デアエル）,599-8262,大阪府堺市中区八田北町595番1の2,中区,072-248-5988,072-248-5988,就労継続支援（Ｂ型）,2716102039,令和2年1月1日,あり,あり,なし,あり
株式会社 レイアップ,ニコイチ,599-8262,大阪府堺市中区八田北町586-1 101号,中区,072-260-9800,072-260-9802,就労継続支援（Ｂ型）,2716102294,令和3年12月1日,あり,あり,なし,あり
合同会社ひまわり,就労継続支援やしの樹,599-8265,大阪府堺市中区八田西町二丁13-17,中区,072-289-6603,072-289-6603,就労継続支援（Ｂ型）,2716102674,令和6年11月1日,あり,あり,なし,あり
合同会社円池会,レイクファーム,599-8265,大阪府堺市中区八田西町三丁5番53号,中区,072-276-1170,072-276-1175,就労継続支援（Ｂ型）,2716101742,平成30年4月1日,なし,あり,なし,なし
一般社団法人シグナル,グロウアップ,599-8266,大阪府堺市中区毛穴町21番地1,中区,072-247-5445,072-247-5446,就労継続支援（Ｂ型）,2716101551,平成29年3月1日,あり,あり,なし,あり
竹野染工株式会社,就労継続支援Ｂ型 明るいミライ,599-8266,大阪府堺市中区毛穴町355番地12,中区,072-274-5428,072-274-1902,就労継続支援（Ｂ型）,2716102625,令和5年7月1日,あり,あり,なし,あり
株式会社サウスライズ,サウスライズ,599-8267,大阪府堺市中区八田寺町83-3,中区,070-2025-0930,,就労継続支援（Ｂ型）,2716102807,令和6年10月1日,あり,あり,なし,あり
特定非営利活動法人こうせん,ワークステーションこうせん,599-8267,大阪府堺市中区八田寺町504-4,中区,072-370-1418,072-370-1428,就労継続支援（Ｂ型）,2716101619,平成29年7月1日,あり,あり,なし,あり
特定非営利活動法人 ウイング,プレイズ,599-8271,大阪府堺市中区深井北町3462,中区,072-275-7092,072-275-7093,就労継続支援（Ｂ型）,2716102328,令和4年1月1日,あり,あり,なし,あり
特定非営利活動法人 スカイ,マハロＷｏｒｋｓ,599-8272,大阪府堺市中区深井中町1412-6,中区,072-343-1963,072-343-1963,就労継続支援（Ｂ型）,2716102195,令和2年11月1日,なし,あり,なし,あり
株式会社 ＲＩＳＥ,ライズ深井,599-8273,大阪府堺市中区深井清水町3282番地 尾崎ビル1階,中区,072-277-7730,072-277-7705,就労継続支援（Ｂ型）,2716102401,令和4年5月1日,あり,あり,なし,あり
社会福祉法人 たんぽぽひろば,ひまわり倶楽部,599-8273,大阪府堺市中区深井清水町3991番地,中区,072-278-6494,072-281-0367,就労継続支援（Ｂ型）,2716100793,平成22年11月1日,なし,なし,なし,あり
社会福祉法人 ばなな,サニー・サイト,599-8273,大阪府堺市中区深井清水町3650番1,中区,072-281-3359,072-275-6250,就労継続支援（Ｂ型）,2716100678,平成22年5月1日,あり,あり,なし,なし
特定非営利活動法人 レアレア,第２作業所ホクレア,599-8275,大阪府堺市中区東八田263番地5,中区,072-247-5959,072-247-5970,就労継続支援（Ｂ型）,2716102385,令和4年5月1日,あり,あり,なし,あり
泉北ビル 株式会社,ＯＮＥ ＧＡＭＥ堺,599-8276,大阪府堺市中区小阪270番地 アンディ1階,中区,072-275-7489,072-275-7330,就労継続支援（Ｂ型）,2716102518,令和4年12月1日,あり,あり,なし,あり
株式会社 渡也建設,あっぷ,599-8101,大阪府堺市東区八下町三丁74番地1,東区,072-267-4543,072-267-4576,生活介護,2716200957,令和4年9月1日,あり,あり,なし,あり
社会福祉法人 徳昇福祉会,はたけの家ぼだい,599-8103,大阪府堺市東区菩提町二丁15,東区,072-288-5775,072-288-5776,生活介護,2716200619,平成28年4月1日,あり,あり,なし,あり
社会福祉法人 徳昇福祉会,菩提の家,599-8103,大阪府堺市東区菩提町一丁53番地1,東区,072-287-1584,072-287-1585,生活介護,2716200346,平成22年4月1日,あり,あり,なし,あり
株式会社ふるさぽーと,ふるさぽーとデイサービスセンター堺店,599-8111,大阪府堺市東区日置荘北町二丁21番36号,東区,072-288-1900,072-288-1901,生活介護,2716201096,令和7年1月1日,あり,あり,なし,あり
セブンテン株式会社,イルカの夢,599-8112,大阪府堺市東区日置荘原寺町471番地1,東区,072-287-3113,072-286-0717,生活介護,2716200981,令和5年8月1日,あり,あり,なし,あり
社会福祉法人 こころの窓,青い鳥,599-8114,大阪府堺市東区日置荘西町八丁1番1号,東区,072-286-2260,072-286-2268,生活介護,2716200296,平成20年3月1日,なし,あり,なし,あり
社会福祉法人 コスモス,堺東部障害者作業所,599-8121,大阪府堺市東区高松106番地,東区,072-237-2635,072-237-4590,生活介護,2716200213,平成19年1月1日,なし,あり,なし,なし
社会福祉法人 コスモス,第３堺東部障害者作業所ポケットリーフ,599-8121,大阪府堺市東区高松123番地,東区,072-239-5639,072-230-1414,生活介護,2716200494,平成25年9月1日,なし,あり,なし,なし
社会福祉法人大阪手をつなぐ育成会,支援センターしらさぎ,599-8107,大阪府堺市東区白鷺町二丁9番32号,東区,072-285-5521,072-288-2026,自立訓練（生活訓練）,2716200288,平成19年10月1日,なし,あり,なし,なし
社会福祉法人 徳昇福祉会,菩提の家,599-8103,大阪府堺市東区菩提町一丁53番地1,東区,072-287-1584,072-287-1585,就労移行支援（一般型）,2716200346,平成22年4月1日,あり,あり,なし,あり
社会福祉法人大阪手をつなぐ育成会,支援センターしらさぎ,599-8107,大阪府堺市東区白鷺町二丁9番32号,東区,072-285-5521,072-288-2026,就労移行支援（一般型）,2716200288,平成19年10月1日,なし,あり,なし,なし
株式会社 ひまわり,ひまわりワークルーム白鷺,599-8107,大阪府堺市東区白鷺町一丁6番10号 中百舌鳥ビル1階,東区,072-203-0278,072-203-0277,就労継続支援（Ａ型）,2716200601,平成28年1月1日,あり,あり,なし,あり
愛丸ワークス株式会社,愛丸ワークス,599-8112,大阪府堺市東区日置荘原寺町409-1,東区,072-284-9222,072-284-9222,就労継続支援（Ａ型）,2716201054,令和6年8月1日,あり,あり,なし,あり
シンスリー 株式会社,シンスリー北野田,599-8123,大阪府堺市東区北野田1084番地127号,東区,072-284-8275,072-284-8276,就労継続支援（Ａ型）,2716200577,平成27年8月1日,あり,あり,なし,あり
社会福祉法人 徳昇福祉会,はたけの家ぼだい,599-8103,大阪府堺市東区菩提町二丁15,東区,072-288-5775,072-288-5776,就労継続支援（Ｂ型）,2716200619,平成28年4月1日,あり,あり,なし,あり
社会福祉法人 徳昇福祉会,菩提の家,599-8103,大阪府堺市東区菩提町一丁53番地1,東区,072-287-1584,072-287-1585,就労継続支援（Ｂ型）,2716200346,平成22年4月1日,あり,あり,なし,あり
株式会社 スマイルケアサポート,ステラ,599-8107,大阪府堺市東区白鷺町一丁23番2号,東区,072-284-8600,072-284-8689,就労継続支援（Ｂ型）,2716200924,令和4年7月1日,あり,あり,なし,あり
社会福祉法人大阪手をつなぐ育成会,支援センターしらさぎ,599-8107,大阪府堺市東区白鷺町二丁9番32号,東区,072-285-5521,072-288-2026,就労継続支援（Ｂ型）,2716200288,平成23年9月1日,なし,あり,なし,なし
特定非営利活動法人ライフ＆ケア,さくら就労ネット,599-8107,大阪府堺市東区白鷺町一丁3-5 ロッジ白鷺1Ｆ,東区,072-240-1177,072-240-1177,就労継続支援（Ｂ型）,2716100660,平成23年7月1日,あり,あり,なし,あり
愛丸ワークス株式会社,愛丸ワークス,599-8112,大阪府堺市東区日置荘原寺町409-1,東区,072-284-9222,072-284-9222,就労継続支援（Ｂ型）,2716201054,令和6年8月1日,あり,あり,なし,あり
社会福祉法人 フェニックス堺,障害者自律学舎しっぷ,599-8112,大阪府堺市東区日置荘原寺町445番地6,東区,072-288-0938,072-288-0939,就労継続支援（Ｂ型）,2716200320,平成21年8月1日,あり,あり,なし,あり
特定非営利活動法人 陽光会,シーズファクトリー,599-8112,大阪府堺市東区日置荘原寺町414番地1,東区,072-290-7433,072-290-7432,就労継続支援（Ｂ型）,2716200544,平成26年8月1日,あり,あり,なし,あり
Ｓｅａｓ Ｃｏｍｐａｎｙ 株式会社,ＳＥＡＷＯＲＫＳ堺,599-8114,大阪府堺市東区日置荘西町二丁39番4号,東区,072-285-1877,072-285-1877,就労継続支援（Ｂ型）,2716200874,令和3年8月1日,あり,あり,なし,あり
株式会社Ａ．Ｃ ＲＩＳＥ,ライズ初芝,599-8114,大阪府堺市東区日置荘西町四丁11-25,東区,072-287-5231,072-287-5232,就労継続支援（Ｂ型）,2716200999,令和5年10月1日,あり,あり,なし,あり
社会福祉法人 こころの窓,青い鳥,599-8114,大阪府堺市東区日置荘西町八丁1番1号,東区,072-286-2260,072-286-2268,就労継続支援（Ｂ型）,2716200296,平成20年3月1日,なし,あり,なし,あり
社会福祉法人 友の樹福祉会,ハーベスト,599-8114,大阪府堺市東区日置荘西町三丁38番3号,東区,072-288-2223,072-288-2224,就労継続支援（Ｂ型）,2716200304,平成21年7月1日,なし,あり,なし,あり
社会福祉法人 コスモス,堺東部障害者作業所,599-8121,大阪府堺市東区高松106番地,東区,072-237-2635,072-237-4590,就労継続支援（Ｂ型）,2716200213,平成22年4月1日,なし,あり,なし,なし
社会福祉法人 コスモス,第３堺東部障害者作業所ポケットリーフ,599-8121,大阪府堺市東区高松123番地,東区,072-239-5639,072-230-1414,就労継続支援（Ｂ型）,2716200494,平成25年9月1日,なし,あり,なし,なし
社会福祉法人 障友会,うららのお店,599-8121,大阪府堺市東区高松238番地1,東区,072-230-0300,072-230-0266,就労継続支援（Ｂ型）,2716200908,令和4年4月1日,なし,あり,なし,なし
社会福祉法人 たんぽぽひろば,ナイスディ,599-8127,大阪府堺市東区草尾1435番地の1,東区,072-237-2259,072-237-2411,就労継続支援（Ｂ型）,2716200379,平成22年11月1日,なし,なし,なし,あり
社会福祉法人 コスモス,みなみな結いの里,592-8333,大阪府堺市西区浜寺石津町西五丁11-21,西区,072-267-6870,072-267-6860,生活介護,2716301698,令和3年4月1日,あり,あり,なし,あり
泉州ケアサービス株式会社,だんらんの家 浜寺石津,592-8334,大阪府堺市西区浜寺石津町中3-3-17,西区,072-247-7961,072-247-7962,生活介護,2716301987,令和5年10月1日,あり,あり,なし,あり
社会福祉法人さんあい,ＳＯＨＯきよらか,593-8301,大阪府堺市西区上野芝町一丁10番14号,西区,072-275-4530,072-275-4530,生活介護,2716301896,令和5年4月1日,あり,あり,なし,あり
株式会社エスポワール,作業所ヒマワリ,593-8307,大阪府堺市西区平岡町20-1,西区,072-289-6922,072-289-6923,生活介護,2716300799,平成24年5月1日,あり,あり,なし,あり
ＮＰＯ法人百舌鳥あすなろ会,あすなろ授産所,593-8312,大阪府堺市西区草部493番1,西区,072-271-8001,072-271-8002,生活介護,2716301334,平成29年4月1日,あり,あり,なし,あり
株式会社フットステップ,生活介護ふっとすてっぷ,593-8312,大阪府堺市西区草部7-5 1階右側号室,西区,072-289-9847,072-289-9848,生活介護,2716301979,令和5年10月1日,あり,あり,なし,あり
社会福祉法人 堺あすなろ会,あすなろ万崎の郷,593-8312,大阪府堺市西区草部931番地2,西区,072-272-7229,072-272-7229,生活介護,2716300377,平成20年5月1日,なし,あり,なし,なし
社会福祉法人 堺あすなろ会,堺あすなろ園,593-8312,大阪府堺市西区草部744番地6,西区,072-271-3665,072-271-3666,生活介護,2716300369,平成20年5月1日,なし,あり,なし,なし
社会福祉法人 障友会,わららか草部,593-8312,大阪府堺市西区草部783番地1,西区,072-275-1575,072-275-1576,生活介護,2716300351,平成20年1月1日,なし,あり,なし,なし
社会福祉法人あすなろ会,堺福泉療護園,593-8312,大阪府堺市西区草部341番地,西区,072-271-0008,072-271-0082,生活介護,2716300658,平成23年7月1日,あり,あり,なし,あり
株式会社ハートフルサンク,ハートフルサンクデイ・ひしき乃湯,593-8315,大阪府堺市西区菱木一丁2446番1号ドイビル1F,西区,072-260-3180,072-260-3182,生活介護,2716301433,令和元年9月1日,あり,あり,なし,あり
株式会社 カメリヤ・プランニング,デイサービスつばき堺,593-8316,大阪府堺市西区山田一丁1084番地1,西区,072-260-5771,072-260-5772,生活介護,2716301524,平成31年4月1日,あり,あり,なし,あり
株式会社 メディカルケア堺,デイサービスすみれの家山田,593-8316,大阪府堺市西区山田三丁953-3,西区,072-289-8894,072-289-8894,生活介護,2716301854,令和4年10月1日,あり,あり,なし,あり
株式会社ＮＡＯ,共生型デイサービスらいく,593-8324,大阪府堺市西区鳳東町二丁185-1,西区,072-284-9932,072-284-9946,生活介護,2716302126,令和6年9月1日,あり,あり,なし,あり
社会福祉法人 コスモス,みなみな結いの里,592-8333,大阪府堺市西区浜寺石津町西五丁11-21,西区,072-267-6870,072-267-6860,自立訓練（機能訓練）,2716301698,令和3年4月1日,あり,あり,なし,あり
株式会社ハートフルサンク,ハートフルサンクデイ・ひしき乃湯,593-8315,大阪府堺市西区菱木一丁2446番1号ドイビル1F,西区,072-260-3180,072-260-3182,自立訓練（機能訓練）,2716301433,平成30年6月1日,あり,あり,なし,あり
株式会社 カメリヤ・プランニング,デイサービスつばき堺,593-8316,大阪府堺市西区山田一丁1084番地1,西区,072-260-5771,072-260-5772,自立訓練（機能訓練）,2716301524,平成31年4月1日,あり,あり,なし,あり
株式会社ハートフルサンク,ハートフルサンクデイ・ひしき乃湯,593-8315,大阪府堺市西区菱木一丁2446番1号ドイビル1F,西区,072-260-3180,072-260-3182,自立訓練（生活訓練）,2716301433,令和元年9月1日,あり,あり,なし,あり
特定非営利活動法人 ひこばえ,いずみ,593-8301,大阪府堺市西区上野芝町二丁3番17号,西区,072-277-6446,072-267-4433,就労移行支援（一般型）,2716300427,平成21年5月1日,あり,あり,なし,あり
特定非営利活動法人クロスジョブ,クロスジョブ鳳,593-8324,大阪府堺市西区鳳東町一丁7番地30 平兵衛ビル3階3-1号室,西区,072-247-4001,072-247-4002,就労移行支援（一般型）,2716301300,平成29年1月1日,あり,あり,なし,あり
株式会社 イクロスサポート,支援センターＳＯＬＡＳ,593-8312,大阪府堺市西区草部491番地1,西区,072-349-8008,072-349-8008,就労継続支援（Ａ型）,2716301623,令和2年10月1日,あり,あり,なし,あり
Ａ・ＴＥＣ株式会社,Ａ・ＴＥＣ,593-8315,大阪府堺市西区菱木二丁2105番地3,西区,072-274-2888,072-274-2888,就労継続支援（Ａ型）,2716300781,平成24年5月1日,あり,あり,なし,あり
合同会社 Ｋ’ｓ,ｋａ－ｋｕｎ ｐｒｏｊｅｃｔ,593-8325,大阪府堺市西区鳳南町二丁149-3,西区,072-260-7470,072-260-7471,就労継続支援（Ａ型）,2716301730,令和3年9月1日,なし,あり,なし,あり
NPO法人堺自立支援センター,ユニオン,592-8334,大阪府堺市西区浜寺石津町中四丁5番14号,西区,072-243-4618,072-243-4618,就労継続支援（Ｂ型）,2716300807,平成24年5月1日,なし,あり,なし,あり
一般社団法人シンシア,ラポール石津川,592-8334,大阪府堺市西区浜寺石津町中三丁13番8号,西区,072-275-5603,072-275-5604,就労継続支援（Ｂ型）,2716302134,令和6年10月1日,あり,あり,なし,あり
特定非営利活動法人堺エコネットワーク協議会,エコベース,592-8335,大阪府堺市西区浜寺石津町東三丁12番21号,西区,072-245-8668,072-245-8668,就労継続支援（Ｂ型）,2716302001,令和5年11月1日,あり,あり,なし,あり
特定非営利活動法人 堺西自立支援センター,もとまちジョブ,592-8343,大阪府堺市西区浜寺元町二丁173番,西区,072-267-7872,072-267-7873,就労継続支援（Ｂ型）,2716301516,平成31年3月1日,あり,あり,なし,あり
社会福祉法人 フェニックス堺,虹工房,592-8344,大阪府堺市西区浜寺南町三丁7番地11,西区,072-266-5317,072-266-5317,就労継続支援（Ｂ型）,2716300484,平成21年11月1日,あり,あり,なし,あり
社会福祉法人さんあい,ＳＯＨＯさんあい,593-8301,大阪府堺市西区上野芝町一丁16番57号,西区,072-280-5827,072-280-5827,就労継続支援（Ｂ型）,2716301896,令和5年4月1日,あり,あり,なし,あり
特定非営利活動法人 ひこばえ,いずみ,593-8301,大阪府堺市西区上野芝町二丁3番17号,西区,072-277-6446,072-267-4433,就労継続支援（Ｂ型）,2716300427,平成21年5月1日,あり,あり,なし,あり
特定非営利活動法人 福祉ネットワーク絆,ふれあいショップ絆,593-8305,大阪府堺市西区堀上緑町一丁8番63-103,西区,072-270-5115,072-270-5115,就労継続支援（Ｂ型）,2716301276,平成28年10月1日,なし,なし,なし,なし
株式会社 おにぎり村,就労継続支援といろ,593-8312,大阪府堺市西区草部1480,西区,072-369-4148,072-369-4149,就労継続支援（Ｂ型）,2716301755,令和3年12月1日,あり,あり,なし,あり
社会福祉法人 堺あすなろ会,堺あすなろ園,593-8312,大阪府堺市西区草部744番地6,西区,072-271-3665,072-271-3666,就労継続支援（Ｂ型）,2716300369,平成20年5月1日,なし,あり,なし,なし
特定非営利活動法人こうせん,ワークステーションこうせん菱木,593-8315,大阪府堺市西区菱木一丁2336-19,西区,072-289-8013,072-289-8014,就労継続支援（Ｂ型）,2716301342,平成29年6月1日,あり,あり,なし,あり
合同会社 イーストワン,イーストワン,593-8324,大阪府堺市西区鳳東町三丁265番2,西区,072-271-0055,072-271-0055,就労継続支援（Ｂ型）,2716301672,令和2年12月1日,なし,なし,なし,あり
社会福祉法人 麦の会,すみれ共同作業所,593-8325,大阪府堺市西区鳳南町四丁419 マスターズエル鳳南581 103号,西区,072-272-2817,072-260-1098,就労継続支援（Ｂ型）,2716300393,平成20年8月1日,あり,あり,なし,あり
社会福祉法人 野のちから,四季彩,593-8327,大阪府堺市西区鳳中町二丁23番地86,西区,072-263-0202,072-263-0240,就労継続支援（Ｂ型）,2716300518,平成22年4月1日,あり,あり,なし,あり
社会福祉法人野のちから,野の花,593-8327,大阪府堺市西区鳳中町二丁50番地2,西区,072-268-8860,072-268-8860,就労継続支援（Ｂ型）,2716300609,平成23年3月1日,あり,あり,なし,あり
ＮＰＯ法人あきら,障害者あきら作業所,593-8328,大阪府堺市西区鳳北町七丁5番地,西区,072-262-0491,072-262-0491,就労継続支援（Ｂ型）,2716300765,平成24年4月1日,あり,あり,なし,あり
社会福祉法人堺あすなろ会,アトリエｈａｎａ,590-0101,大阪府堺市南区宮山台三丁1番地10,南区,072-297-4878,072-291-4878,生活介護,2716400409,平成21年4月1日,なし,あり,なし,なし
特定非営利活動法人 Ｄｅａｒ ｆｒｉｅｎｄｓ,でぃあふれんず,590-0101,大阪府堺市南区宮山台三丁1番20号,南区,072-295-7227,072-295-7228,生活介護,2716400466,平成21年7月1日,あり,あり,なし,あり
有限会社 キャプテンフィンガーズ,ケアセンター仲村,590-0101,大阪府堺市南区宮山台四丁7番9号,南区,072-284-3700,072-295-5505,生活介護,2716401100,令和3年5月1日,あり,あり,なし,あり
株式会社 カミレ,ワンダーさかい,590-0103,大阪府堺市南区深阪南103番地,南区,072-247-4769,072-242-4765,生活介護,2716401035,令和2年5月1日,あり,あり,なし,あり
特定非営利活動法人 栄友社,えーゆーハウス,590-0104,大阪府堺市南区土佐屋台1321番4号,南区,072-237-0294,072-237-0293,生活介護,2716400490,平成22年1月1日,あり,なし,なし,なし
社会福祉法人コスモス,アクティブスペースかいと,590-0106,大阪府堺市南区豊田1180,南区,072-289-6018,072-289-6019,生活介護,2716400904,平成29年4月1日,なし,あり,なし,あり
合同会社バイオレット,ライフケア バイオレット,590-0117,大阪府堺市南区高倉台二丁39-10,南区,072-289-5428,072-349-7546,生活介護,2716401266,令和6年3月1日,あり,なし,なし,なし
社会福祉法人 コスモス,ふれあいの里かたくら,590-0121,大阪府堺市南区片蔵165番地,南区,072-291-5679,072-290-5300,生活介護,2716400334,平成19年4月1日,あり,あり,なし,あり
社会福祉法人 コスモス,第２ふれあいの里かたくら,590-0121,大阪府堺市南区片蔵176-1番地,南区,072-291-5679,072-290-5300,生活介護,2716400888,平成28年4月1日,あり,あり,なし,あり
社会福祉法人 まほろば,パル・茅渟の里,590-0122,大阪府堺市南区釜室995番地1,南区,072-290-6880,072-290-6881,生活介護,2716400417,平成20年5月1日,なし,あり,なし,なし
