事業所番号,事業所名称,事業所電話番号,事業所FAX番号,事業所郵便番号,事業所所在地,法人名称,主たる対象者：身体,主たる対象者：知的,主たる対象者：精神,主たる対象者：難病,利用定員,多機能の有無,指定日,主たる事業所名
2711701298,１０ｉｒｏ,06-6777-1946,06-6777-1947,543-0002,大阪市天王寺区上汐三丁目２番１７号　コモド上汐ビル８０２,ライジングフード株式会社,○,○,○,○,20,,2022/03/01,
2711700654,ワークスペースエース上本町,06-6777-4469,06-6777-4469,543-0023,大阪市天王寺区味原町１４番９号　上本町東ビル２０５号室,株式会社エース,○,○,○,○,20,,2014/03/01,
2711701371,Ｗｈｉｔｅ,06-6767-9632,06-6767-9642,543-0023,大阪市天王寺区味原町１４番３号　上本町東シティハウス４０５,株式会社ＭＩＬＫ,○,○,○,○,20,,2022/08/01,
2711701215,クリーフ,06-6796-7590,06-6796-7591,543-0023,大阪市天王寺区味原町１４番３号　上本町東シティハウス３０５号,株式会社ジョイフルリンク,○,○,○,○,20,,2021/04/01,
2711701678,Ｃｏｒａｌ,06-6795-4402,06-6795-4403,543-0028,大阪市天王寺区小橋町２番２１号　 ,株式会社Ｇｗｅｌｌ,,○,○,,20,,2024/09/01,
2711700928,ゲットワークエナベル,06-6773-9851,06-6777-2311,543-0041,大阪市天王寺区真法院町６番１２号　真法院ｊｎビル５階,一般社団法人生活・就労支援協会,○,○,○,○,10,○,2017/11/01,
2711700647,就労支援センター寺田町,06-6776-8792,06-6776-8793,543-0044,大阪市天王寺区国分町１３番８号　グリーンヒル１０８　２Ｆ,株式会社新栄ライフサービス,○,○,○,○,20,,2014/03/01,
2711700662,インクルージョン,06-6773-1541,06-6777-1548,543-0052,大阪市天王寺区大道四丁目２番３号　八千代興産寺田町ビル３階５階,株式会社インクルージョン,○,○,○,○,10,○,2014/03/01,
2711701306,ＴＥＣＴＥＣ　ＣＲＥＡＴＩＶＥ　天王寺,06-6777-1440,06-6777-1441,543-0052,大阪市天王寺区大道一丁目１４番１５号　 ,株式会社シーアイ・パートナーズ,○,○,○,,10,○,2023/01/01,
2711701652,カルミア,06-6718-7855,06-6718-7856,543-0052,大阪市天王寺区大道二丁目１２番１８号　天王寺アートビル１階,合同会社カルミア,○,○,○,○,15,,2024/08/01,
2711700340,ネクストステージエイブル,06-6771-8851,06-6771-8851,543-0053,大阪市天王寺区北河堀町８番１３号　 ,矢野紙器　株式会社,○,○,○,,10,○,2009/07/01,
2711700845,ビジネスプランニングセンター,06-6777-3058,050-3383-2697,543-0072,大阪市天王寺区生玉前町１番２１号　小山ビルグランシャリオ６階,株式会社業務企画センター,○,○,○,○,20,,2016/10/01,
2711701074,スキルアップ,06-4305-3473,06-4305-3474,543-0072,大阪市天王寺区生玉前町１番１３号　ＴＰＧビル谷町７Ｆ,ライジングフード株式会社,○,○,○,○,20,,2020/01/01,
2711701322,ココカラ,06-6105-2386,06-6105-2387,543-0072,大阪市天王寺区生玉前町１番１３号　ＴＰＧビル谷町５Ｆ,株式会社ジョイフルリンク,○,○,○,○,20,,2022/04/01,
2711701439,希望,090-9052-6585, ,543-0073,大阪市天王寺区生玉寺町３番３２号　谷九夕陽丘ビル２階,株式会社Ｅｓｐｅｒａｎｚａ,○,○,○,○,20,,2023/05/01,
2714301799,ＳＰＯＴＬＡＢ夕陽ヶ丘,06-6964-8550,06-6964-8551,556-0001,大阪市浪速区下寺一丁目６番７号　アドマスタワー夕陽丘５階,合同会社はなさく,○,○,○,○,10,○,2024/07/01,
2714301815,ＡＮＤ＝Ｓ,06-6711-0994,06-6711-0995,556-0001,大阪市浪速区下寺一丁目６番１２号　５階,株式会社Ｓａｐｕｌａｓ,○,○,○,○,20,,2023/09/01,
2714301476,フローラ難波,06-6626-4848,06-6626-4849,556-0005,大阪市浪速区日本橋四丁目２番１５号　パーク日本橋３０２,株式会社エイトワークス浪速,○,○,○,○,20,,2022/04/01,
2714301492,メビウス日本橋,06-4307-4545,06-4307-4546,556-0005,大阪市浪速区日本橋四丁目２番１５号　パーク日本橋３０１,株式会社インフィニティ,○,○,○,○,20,,2022/04/01,
2714301377,ベストライフ,070-1181-5476, ,556-0005,大阪市浪速区日本橋四丁目５番２１号　Ｍｅｂｉｕｓ難波東Ｒｅｓｉｄｅｎｃｅ５０１,株式会社ＧＲＩＴ　ＧＲＯＵＰ,○,○,○,○,18,,2021/04/01,
2714301419,ベストライフなんば２号店,080-4106-2396, ,556-0005,大阪市浪速区日本橋四丁目７番１０号　２階,株式会社ＧＲＩＴ　ＧＲＯＵＰ,○,○,○,○,20,,2021/09/01,
2714301690,ベストライフなんば５号店,080-7563-8021, ,556-0005,大阪市浪速区日本橋四丁目７番１０号　３階,株式会社ＣＬＯＶＥＲ,○,○,○,○,20,,2023/04/01,
2714301807,Ｓｏ－Ｔｅｎ　難波,06-6556-7204, ,556-0011,大阪市浪速区難波中一丁目９番１０号　マッセ難波ビル３０５,一般社団法人ｂｒｏｔｈｅｒｓ,○,○,○,○,20,,2023/09/01,
2714301260,Ｆａｍｉｌｙなんば,06-6626-9515,06-6643-9535,556-0011,大阪市浪速区難波中三丁目１４番５号　新日本難波ビル１階,株式会社輪,○,○,○,○,20,,2020/11/01,
2714301666,ベストライフなんば３号店,06-6760-4765,06-6760-4764,556-0011,大阪市浪速区難波中二丁目６番１３号　６階,株式会社ＧＲＩＴ　ＧＲＯＵＰ,○,○,○,○,20,,2023/04/01,
2714300536,ピース,06-6647-2077,06-6647-2087,556-0014,大阪市浪速区大国一丁目１１番１号　,社会福祉法人　ピースクラブ,○,○,○,○,10,○,2012/04/01,
2714301971,就労継続支援　レゼル,06-6964-8023, ,556-0014,大阪市浪速区大国一丁目２番２号　 ,株式会社レゼル,○,○,○,○,10,○,2024/09/01,
2714301237,なんば就労支援センター,06-6684-9223,06-6684-9224,556-0016,大阪市浪速区元町一丁目１１番８号　ＳＡＫＩＭＯＴＯＢＬＤＧ５０１,株式会社エウゼーン,○,○,○,○,20,,2020/07/01,
2714300387,就労創造センターせふぃろと,06-6562-7735,06-6643-9563,556-0021,大阪市浪速区幸町二丁目４番１５号　マナベハイツ桜川１０１,株式会社　ソーシャルプランニング流,○,○,○,○,20,,2010/05/01,
2714300585,フローラ,06-6575-9810,06-6575-9811,556-0021,大阪市浪速区幸町二丁目２番４０号　 ,株式会社エイトワークス浪速,○,○,○,,20,,2012/11/01,
2714301484,ロイヤルビー,06-6563-6767,06-6563-6768,556-0021,大阪市浪速区幸町二丁目２番４０号　グラスホッパー２Ｆ,株式会社ハニービー,○,○,○,○,20,,2022/04/01,
2714301278,就労継続支援Ａ型事業所グルーヴ,06-4394-7888,06-4394-7889,556-0022,大阪市浪速区桜川四丁目４番４号　ドゥエリング桜川１Ｆ,株式会社４分の４,○,○,○,○,20,,2020/12/01,
2714301963,デカモリシの家　桜川店,050-3154-0162,06-6450-6726,556-0022,大阪市浪速区桜川四丁目４番１０号　ニューグランドビル５階,株式会社デカモリシ,○,○,○,○,20,,2024/07/01,
2711001210,Ｂｅ　Ｈａｐｐｙみてじま,06-6795-9762,06-6795-9763,555-0012,大阪市西淀川区御幣島二丁目１１番４４号２階　 ,一般社団法人ＫＩＺＵＮＡ,○,○,○,○,20,,2022/04/01,
2711000691,みらい,06-6476-3577,06-6476-3578,555-0024,大阪市西淀川区野里一丁目４番７号　 ,株式会社みらい,○,○,○,,17,,2015/04/01,
2711000485,桜ほのぼの苑　大和田事業所,06-6829-6347,06-6829-6372,555-0032,大阪市西淀川区大和田三丁目９番７号　,株式会社　桜ほのぼの苑,○,○,○,○,10,,2012/12/01,桜ほのぼの苑　姫島事業所
2711001400,ｗｉｌｌ　ｂｅ,06-6755-9344,06-6755-9325,555-0032,大阪市西淀川区大和田三丁目２番２７号　 ,カンリーサイソン株式会社,,○,○,,20,,2024/09/01,
2711000485,桜ほのぼの苑　姫島事業所,06-6829-6201,06-6829-6372,555-0033,大阪市西淀川区姫島五丁目１０番２１号　 ,株式会社　桜ほのぼの苑,○,○,○,○,40,,2012/12/01,
2719102572,就労継続支援Ａ型Ａｉｍｅｒグループ,06-6335-4697,06-6335-4698,532-0002,大阪市淀川区東三国四丁目１１番４号　新大阪明成ビル４０１号室,株式会社ＡＩＭＥＲ,○,○,○,○,20,,2023/01/01,
2719102952,就労支援ＳＵＮＤＡＹ,050-5536-5137,050-4560-3397,532-0002,大阪市淀川区東三国一丁目１２番１５号　辻本ビル６階,株式会社Ａｎｅｓｔパートナー,○,○,○,○,20,,2024/07/01,
2719102366,就労継続支援Ａ型事業所フランベ,06-6151-5409,06-6391-4361,532-0003,大阪市淀川区宮原五丁目５番１５号　フローライト新大阪,株式会社フランベ,○,○,○,,16,,2022/04/01,
2719101285,Ｂｅ　Ｆｌａｐ,06-4862-4294,06-4862-4299,532-0011,大阪市淀川区西中島六丁目７番１２号　アーバンビル２Ｆ,一般社団法人ファーストステップ,○,○,○,○,20,,2015/08/01,
2719101657,Ｂｅ　Ｆｌａｐ２,06-6829-7025,06-6829-7073,532-0011,大阪市淀川区西中島四丁目１３番２４号　花原第３ビル２Ｆ,一般社団法人ファーストステップ,○,○,○,○,20,,2018/01/01,
2719101947,Ｂｅ　Ｆｌａｐ３,06-6476-7531,06-6476-7532,532-0011,大阪市淀川区西中島六丁目１番１５号　アセンズ新大阪７階Ａ号,一般社団法人ファーストステップ,○,○,○,○,20,,2019/10/01,
2719103075,Ｉ．Ｃ．Ｇ．Ｊｏｂｓ新大阪,06-6599-9474, ,532-0011,大阪市淀川区西中島三丁目１４番２０号　ＮＬＣ新大阪ビジネスゾーンⅢ番館５０１号室,一般社団法人Ｉ．Ｃ．Ｇ．Ｊｏｂｓ,○,○,○,○,20,,2024/11/01,
2719102317,ネオワークス　新大阪,06-6886-8061,06-6886-8062,532-0011,大阪市淀川区西中島六丁目１１番２５号　第１０新大阪ビル５０１号,株式会社ネオワークス,○,○,○,○,20,,2022/04/01,
2719102853,就労支援センター　ハーテス,06-6476-9231,06-6393-3203,532-0011,大阪市淀川区西中島四丁目５番２２号　レクシア西中島Ⅲ３０３号室,ライフワーク株式会社,○,○,○,○,20,,2024/04/01,
2719102861,就労支援センター　ハーテスⅡ,06-6795-9231,06-6393-3203,532-0011,大阪市淀川区西中島四丁目６番１５号　ミツフ第３ビル６Ｆ,ライフワーク株式会社,○,○,○,○,20,,2024/04/01,
2719101525,Ｂｅ　Ｈａｐｐｙ　南方駅前,06-6195-8670,06-6195-8695,532-0011,大阪市淀川区西中島一丁目１４番１７号　アルバート新大阪ビル４０１,一般社団法人ＫＩＺＵＮＡ,○,○,○,○,20,,2017/02/01,
2711801213,Ｉ．Ｃ．Ｇ．Ｊｏｂｓ西中島,06-6599-9474, ,532-0012,大阪市淀川区木川東三丁目８番７号２Ｆ　 ,一般社団法人Ｉ．Ｃ．Ｇ．Ｊｏｂｓ,○,○,○,○,20,,2023/03/01,
2719101251,ＪｉＲｉＴｓ,06-6195-1277,06-6195-1277,532-0012,大阪市淀川区木川東三丁目１番３１号　大桜ビル４Ｄ号,合同会社ガルダ,○,○,○,○,20,,2015/01/01,
2719101772,キャリアＳｔｅｐ,06-6195-1743,06-6195-1744,532-0012,大阪市淀川区木川東三丁目１番２３号　ＫＣ新大阪ビル５Ｆ,一般社団法人ＫＩＺＵＮＡ,○,○,○,○,20,,2018/07/01,
2719101988,Ｂｅ　Ｈａｐｐｙ　メディア,06-6195-8649,06-6195-8694,532-0013,大阪市淀川区木川西一丁目１３番１５号　２Ｆ,一般社団法人ＫＩＺＵＮＡ,○,○,○,○,20,,2019/12/01,
2719102093,Ｂｅ　Ｈａｐｐｙメイト,06-6476-7898,06-6476-7899,532-0013,大阪市淀川区木川西一丁目４番１５号　１Ｆ,一般社団法人ＫＩＺＵＮＡ,○,○,○,○,20,,2020/10/01,
2719102309,Ｂｅ　Ｓｍｉｌｅ　十三東,06-6195-5622,06-6195-5623,532-0023,大阪市淀川区十三東三丁目１８番１２号　伊藤ビル１階,一般社団法人サンプレイス,○,○,○,○,20,,2022/04/01,
2719101103,就労支援センターにこにこ,06-6391-8500,06-6152-7755,532-0023,大阪市淀川区十三東二丁目１２番３８号　 ,株式会社　ラーカイラム,,○,○,,10,○,2013/10/01,
2719101046,Ｂｅ　Ｈａｐｐｙ,06-6195-8649,06-6195-8694,532-0023,大阪市淀川区十三東１－１１－２８　光第８ビル２Ｆ,一般社団法人ＫＩＺＵＮＡ,○,○,○,○,20,,2013/03/01,
2719101087,オレーヴ,06-6304-3111,06-6304-3101,532-0024,大阪市淀川区十三本町二丁目４番２５号　 ,オレーヴ株式会社,○,○,○,○,20,,2013/08/01,
2719101137,ワークスペース　エース,06-6303-3229,06-6303-3229,532-0024,大阪市淀川区十三本町二丁目１番２０号　十三西口浜ビル１Ｆ,株式会社エース,○,○,○,○,20,,2013/12/01,
2713002216,ちゃれんびぃ小松事業所,06-6990-6507,,533-0004,大阪市東淀川区小松二丁目１３番２３号　,株式会社チャレンビー,○,○,○,○,10,,2021/02/01,ちゃれんびぃ　豊里事業所
2713002455,アシスト,06-6195-7437,06-6195-7437,533-0004,大阪市東淀川区小松一丁目１２番１６号　メゾンアベニュー１階,合同会社ジュレイ,○,○,○,○,20,,2022/03/01,
2713002844,就労支援事業所タケルフードビズ,06-6326-2929,06-6326-2929,533-0005,大阪市東淀川区瑞光一丁目１４番３８号　 ,株式会社ｋｏｏｋｏｏ＆ｃｏ,○,○,○,○,14,,2023/04/01,
2713002125,こころ,06-7174-5148,06-7164-1896,533-0006,大阪市東淀川区上新庄三丁目２番３号　 ,株式会社アットマインド,○,○,○,○,14,○,2020/07/01,
2713002398,スタッフルーム,06-6195-8754,06-6195-8754,533-0007,大阪市東淀川区相川一丁目８番１１号　 ,サン株式会社,○,○,○,○,10,○,2021/12/01,
2713002554,ワイプラス,06-6195-4945,06-6195-4917,533-0007,大阪市東淀川区相川二丁目２０番１０号　太田ビル２階,株式会社ＫＩ２,○,○,○,○,10,○,2022/07/01,
2713002216,ちゃれんびぃ　豊里事業所,06-6990-6507,06-6990-6509,533-0013,大阪市東淀川区豊里六丁目２８番１１号　 ,株式会社チャレンビー,○,○,○,○,20,,2021/02/01,
2713002422,就労支援事業所こころラボ,06-6770-9113,06-6770-9143,533-0031,大阪市東淀川区西淡路五丁目１番１号　 ,株式会社アットマインド,○,○,○,○,13,,2022/01/01,
2719101574,Ｂｅ　Ｓｍｉｌｅ　東中島,06-6770-9011,06-6770-9014,533-0033,大阪市東淀川区東中島２丁目８－６　新大阪駅前ビル４０３、４０５、６０２号室,一般社団法人サンプレイス,○,○,○,○,20,,2017/05/01,
2713002075,ワークホームＳＯＡ,06-6770-9056,06-6770-9057,533-0033,大阪市東淀川区東中島三丁目２番２号　レジデンス新大阪,株式会社希心,○,○,○,○,20,,2020/05/01,
2713002653,ホープブリッジ,06-6459-9717,06-6459-9717,533-0033,大阪市東淀川区東中島一丁目１７番２６号　スキルインフォメーションズビル５Ｆ,株式会社ＣＯＭＢＡＳＥ,○,○,○,○,20,,2022/09/01,
2711501409,たつひろ深江橋事業所,06-6753-7655,06-6753-7665,537-0001,大阪市東成区深江北二丁目４番２６号　アベニュー沢瀉１Ｃ,株式会社たつひろ,,○,○,,20,,2021/04/01,
2711501813,健美道アンカー,06-4259-5000,06-4259-5001,537-0012,大阪市東成区大今里三丁目２０番２２号　２階,有限会社　ファミリータイズ,○,○,○,○,20,,2023/04/01,
2711500682,ひまわりワークルーム,06-6977-2456,06-6977-2455,537-0013,大阪市東成区大今里南一丁目１番２３号　ノアーズアーク今里駅前３０１号室,株式会社ひまわり,○,○,○,○,20,,2015/01/01,
2711500575,健美道　中本,06-6974-5705,06-4308-4331,537-0014,大阪市東成区大今里西一丁目２番９号１階　,有限会社　ファミリータイズ,○,○,○,○,10,,2013/04/01,健美道
2711501201,健美道　今里,06-6974-1300,06-6974-1303,537-0014,大阪市東成区大今里西二丁目１６番１５号１０１号室　 ,有限会社　ファミリータイズ,○,○,○,○,15,,2019/09/01,
2711500690,サンフィールド緑橋,06-7506-1602,06-7507-2338,537-0021,大阪市東成区東中本一丁目１０番１４号　 ,ニール株式会社,○,○,○,○,10,○,2015/02/01,
2711501326,Ｆｒｏｍｊｏｂ緑橋,06-6224-3063, ,537-0021,大阪市東成区東中本二丁目６番２号　光本マンション１階,Ｆｒｏｍｊｏｂ株式会社,○,○,○,○,10,○,2020/11/01,
2711501615,グリーンブリッジ　ＮＡＮＡＩＲＯ,06-6975-8277,06-6975-8278,537-0022,大阪市東成区中本一丁目１１番１８号　ハビタスギハラ１階・４階,全国社会福祉会ＮＡＮＡＩＲＯ　ＦＡＲＭＳ株式会社,○,○,○,○,20,,2022/04/01,
2719403327,Ｍｉｒｒｉｍｅ,06-6450-5102,06-6450-5103,537-0022,大阪市東成区中本五丁目１５番１０号　ユニバーサル中本ビルディング４階,株式会社ＪＯＢ　ｃｏｎｎｅｃｔ,○,○,○,○,,,2024/04/01,Ｍｉｒｒｉｍｅ
2711501367,アトリア,06-6720-8658,06-6720-8658,537-0023,大阪市東成区玉津二丁目１番２７号　彩貴ビル１階,一般社団法人六等星,○,○,○,○,20,,2021/02/01,
2711500575,健美道,06-4307-3991,06-4307-3993,537-0024,大阪市東成区東小橋三丁目９番２０号　 ,有限会社　ファミリータイズ,○,○,○,○,20,,2013/04/01,
2711502092,Ｒｏｌｅ,070-4095-5720, ,537-0025,大阪市東成区中道四丁目１番７号　サカモトキャッチャービル１階,株式会社Ｒｏｌｅ,○,○,○,○,20,,2024/08/01,
2712200993,神戸屋,06-6757-8361,06-6757-8361,544-0001,大阪市生野区新今里七丁目８番１６号　,株式会社　神戸屋,○,○,○,○,20,,2010/07/01,
2712201603,ワークロード,06-6748-0507,06-6748-0507,544-0013,大阪市生野区巽中二丁目１７番６号　 ,株式会社ワークロード,○,○,○,○,10,○,2014/03/01,
2712203161,アントールド,06-4309-5420,06-4309-5421,544-0014,大阪市生野区巽東二丁目８番３２号　荻田第４ビル２０１号,株式会社ＵＮＴＯＬＤ,○,○,○,○,20,,2021/02/01,
2712202411,就労継続支援Ａ型スタンドアップ舎利寺,06-4303-3502,06-7632-3213,544-0022,大阪市生野区舎利寺二丁目４番２８号　 ,一般社団法人障がい者自立スタンドアップ,○,○,○,○,15,,2018/03/01,
2712203716,ブルーサポート桃谷,06-6712-6600,06-6712-6601,544-0033,大阪市生野区勝山北一丁目５番３号　 ,株式会社ベンチ,○,○,○,○,15,,2022/07/01,
2713102032,就労継続支援Ａ型事業所ケーズ,080-6146-9282,06-4256-0764,535-0022,大阪市旭区新森七丁目４番３７号　 ,株式会社Ｋ．Ｓ,○,○,○,○,20,,2023/08/01,
2714401375,ワークセンターもーる城東,06-6786-0088,06-6786-0099,536-0001,大阪市城東区古市三丁目２２番２号　パルコムマンション２階,株式会社モールカンパニー,○,○,○,○,20,,2015/01/01,
2714401706,アントレッドワークス蒲生事業所,06-6931-0390,06-6931-0391,536-0004,大阪市城東区今福西四丁目４番２３号　石脇ビル２０２・２０５号,一般社団法人アントレッドワークス,○,○,○,○,20,,2017/07/01,
2714401383,ステップアップ,06-6936-3300,06-6936-2929,536-0004,大阪市城東区今福西一丁目１番２６号　 ,テキスタイルワークス合同会社,○,○,,,20,,2015/01/01,
2714401698,サンフィールド城東,06-6939-3424,06-6930-3272,536-0004,大阪市城東区今福西五丁目１３番１３号　 ,ニール株式会社,○,○,○,○,20,,2017/06/01,
2714401409,Ｋａｗａｓｅｍｉ,06-6935-1111,06-6935-1911,536-0005,大阪市城東区中央一丁目６番２９号　 ,社会福祉法人　そうそうの杜,○,○,○,○,10,○,2015/05/01,
2714402043,マリアワークス,06-6934-7448,06-6934-7449,536-0006,大阪市城東区野江一丁目１番１号　角屋京橋ビル３階,株式会社マリアプロ,○,○,○,○,20,,2020/02/01,
2714402829,ＥａｃｈＱＷｏｒＫ,, ,536-0016,大阪市城東区蒲生三丁目１０番１９号　 ,ＥａｃｈＱＷｏｒＫ株式会社,○,○,○,○,20,,2024/10/01,
2714402662,ルートＳ,06-7503-1252,06-7503-1252,536-0023,大阪市城東区東中浜三丁目１番１６号　 ,合同会社ケアサービス,○,○,○,,15,,2023/09/01,
2714402894,サードプレイス森之宮,06-7651-5920, ,536-0025,大阪市城東区森之宮二丁目６番１号　 ,サードプレイス株式会社,○,○,○,○,20,,2024/12/01,
2719200889,ハッピーワークス,06-7181-0690,06-7164-5686,538-0037,大阪市鶴見区焼野一丁目南１１番６号　 ,特定非営利活動法人笑てん,○,○,○,○,20,,2016/06/01,
2719201374,ワークサポート　鶴見,06-6964-5920,06-6964-5921,538-0041,大阪市鶴見区今津北五丁目５番６－１０１号　 ,ｉｉＴｅ株式会社,○,○,○,○,18,,2022/04/01,
2719201127,ビザライト,06-6780-4470,06-6780-4614,538-0051,大阪市鶴見区諸口一丁目１番９号　 ,有限会社プロ・フィッツ,○,○,○,○,20,,2019/04/01,
2719201499,ライツウィングス,06-7492-8929,06-7492-8930,538-0051,大阪市鶴見区諸口五丁目５番１号　 ,株式会社ライツウィングス,○,○,○,○,20,,2024/04/01,
2719200921,レイオブライト,06-6167-4317,06-6167-4218,538-0054,大阪市鶴見区緑一丁目７番１５号　ＴＭＳ３階,有限会社プロ・フィッツ,○,○,○,○,20,,2016/10/01,
2719201127,ビザライト,06-6780-4470,06-6780-4614,538-0054,大阪市鶴見区緑一丁目７番５号　カーサエクリオ１０３,有限会社プロ・フィッツ,○,○,○,○,10,,2019/04/01,ビザライト
2712302161,Ｌｉｆｅ　Ｐｌａｎ,06-6624-9292,06-6624-9293,545-0014,大阪市阿倍野区西田辺町一丁目１２番２９号　 ,株式会社Ｌｉｆｅ　Ｐｌａｎ,,○,○,,20,,2023/12/01,
2712301494,シードリーフ,06-6625-8765,06-6625-8765,545-0021,大阪市阿倍野区阪南町一丁目２７番１７号　服部ビル２Ｆ,有限会社Ｃｌａｓｓｙ　Ｌａｂ,○,○,○,○,20,,2020/04/01,
2712301841,マカロン,06-6568-9600,06-6568-9606,545-0051,大阪市阿倍野区旭町一丁目６番３号　 ,一般社団法人ＲＩＲＥ,○,○,○,○,20,,2022/05/01,
2712301544,Ｂｅ　Ｈａｐｐｙ　あべの,06-4394-8436,06-4394-8640,545-0051,大阪市阿倍野区旭町二丁目１番１－１３５・１８６号　 ,一般社団法人ＫＩＺＵＮＡ,○,○,○,○,20,,2020/08/01,
2712302039,未来あべの,06-6115-6108,06-6115-8572,545-0053,大阪市阿倍野区松崎町二丁目３番３３号　 ,アクティブサポート株式会社,○,○,○,○,14,○,2023/04/01,
2712301726,グッドリーフ,06-6809-7221,06-6809-7221,545-0053,大阪市阿倍野区松崎町四丁目４番１８号　アベノフォーラム１Ｆ,有限会社Ｃｌａｓｓｙ　Ｌａｂ,○,○,○,○,20,,2021/09/01,
2712301825,ウイズリーフ,06-7221-0063,06-7221-0063,545-0053,大阪市阿倍野区松崎町四丁目５番３１号　アベクマビル４Ｆ，５Ｆ,有限会社Ｃｌａｓｓｙ　Ｌａｂ,○,○,○,○,20,,2022/04/01,
2715901076,ライフカンパニー,06-6657-4149,06-6657-4149,559-0003,大阪市住之江区安立四丁目１番４号　 ,ライフカンパニー株式会社,○,○,○,○,20,,2014/10/01,
2715901688,就労継続支援Ａ型Ｂ型　わか,06-6675-3689,06-6675-3699,559-0005,大阪市住之江区西住之江二丁目１番１号　２階,わか株式会社,○,○,○,○,10,○,2021/01/01,
2715901134,フォレストアウル,06-6686-3001,06-6686-3002,559-0011,大阪市住之江区北加賀屋一丁目２番４５号　Ｓ＆Ｊマンション１Ｆ,フォレスト・アウル株式会社,○,○,○,○,20,,2015/08/01,
2712002951,バックオフィス長居,06-6654-6150,06-6654-6150,558-0004,大阪市住吉区長居東四丁目２番１１号　ドムール長居２０６号,一般社団法人ヒューマンブレイン,○,○,○,○,10,,2024/01/01,
2712002605,ユアペース,080-8115-6421,06-7506-9568,558-0013,大阪市住吉区我孫子東一丁目３番３２号　 ,株式会社ＹｏｕｒＰａｃｅ,○,○,○,○,10,○,2022/06/01,
2712001433,ＬＩＣワークパートナーズあびこ,06-4700-7098,06-4700-7099,558-0014,大阪市住吉区我孫子四丁目６番２１号　エストゥディオアビコ１０１号室,株式会社ＬＩＣ,○,○,○,○,20,,2014/10/01,
2712002738,てあてる我孫子,06-6691-7888,06-6691-7888,558-0014,大阪市住吉区我孫子三丁目１１番２７号　 ,株式会社テアテル,○,○,○,○,20,,2023/02/01,
2712001458,ワンモアステップ,06-6696-8875,06-6696-8876,558-0023,大阪市住吉区山之内三丁目７番６号　１０２号室,株式会社ワンモアステップ,○,○,○,,20,,2014/12/01,
2712001268,就労継続支援Ａ型事業所　南海ライフリレーションあびこ道,06-6676-6802,06-6676-6803,558-0033,大阪市住吉区清水丘三丁目１４番８１号　 ,南海ライフリレーション株式会社,○,○,○,○,20,,2013/07/01,
2712001524,オリーブ事業所,06-7165-4380,06-7165-4380,558-0044,大阪市住吉区長峡町６番１２号　メゾン森重２Ｆ,株式会社ＡＪ,○,○,○,○,20,○,2015/05/01,
2710802576,だいこん畑東部市場店,06-6777-7600,06-6760-2235,546-0001,大阪市東住吉区今林一丁目２番６８号　大阪市中央卸売市場東部市場内,有限会社だいこん畑,○,○,○,○,20,,2019/05/01,
2710802394,Ｆｒｏｍｊｏｂ東住吉,06-6776-2852,06-6776-2853,546-0001,大阪市東住吉区今林四丁目１３番７号　 ,Ｆｒｏｍｊｏｂ株式会社,○,○,○,○,14,○,2018/09/01,
2710803988,就労継続支援Ａ型事業所クロスロード,06-6777-8302,06-6777-8302,546-0002,大阪市東住吉区杭全一丁目１１番３－６０３号　 ,合同会社フォレストウェル,○,○,○,○,10,○,2023/05/01,
2710802253,だいこん畑　東住吉本店,06-6777-7600,06-6760-2235,546-0003,大阪市東住吉区今川六丁目４番２４号　 ,有限会社だいこん畑,○,○,○,○,10,,2018/04/01,
2710803947,Ｔｅａｍ蓮,06-6790-3636,06-6790-3637,546-0013,大阪市東住吉区湯里二丁目１７番４号　ヴィルブーケ１Ｆ,合同会社Ｃｏｒｅａｌｏ,○,○,○,○,15,,2023/04/01,
2710804622,就労継続支援Ａ型事業所　キャリアコネクト,080-4221-8969, ,546-0022,大阪市東住吉区住道矢田七丁目１２番６号　 ,合同会社キャリアコネクト,○,○,○,○,12,,2024/11/01,
2710801693,ほっと　Ｓｐａｃｅ,090-9282-6678,06-6624-5846,546-0031,大阪市東住吉区田辺一丁目１０番１０号　 ,有限会社ステラ,○,○,○,○,12,,2015/05/01,
2710802592,楽らく,06-6609-5535,06-6609-5535,546-0043,大阪市東住吉区駒川五丁目４番１５号　 ,合同会社楽らく,○,○,○,○,19,,2019/05/01,
2710804614,シリウスパートナーズ,06-7410-2741,06-6609-7722,546-0043,大阪市東住吉区駒川四丁目１２番２１号　ミカサヤビル２階,Ｓｉｒｉｕｓ　Ｐａｒｔｎｅｒｓ株式会社,○,○,○,○,10,,2024/11/01,
2712301742,だいこん畑　北田辺店,06-6777-7600,06-6760-2235,546-0044,大阪市東住吉区北田辺四丁目２２番６号　２０１,有限会社だいこん畑,○,○,○,○,20,,2022/01/01,
2715805319,アロハ,06-6796-3524,06-6793-0330,547-0001,大阪市平野区加美北四丁目１０番２号１階、２階　 ,有限会社パッケム,○,○,○,○,10,,2024/08/01,
2715802787,ねくすとべーす,06-6792-8077,06-6792-8088,547-0002,大阪市平野区加美東四丁目１２番１１号　 ,株式会社ネクストスペース,○,○,○,○,20,,2016/09/01,
2715803462,Ｂｅ　Ｈａｐｐｙ　平野,06-6796-7275,06-6796-7288,547-0002,大阪市平野区加美東四丁目１７番１７号　 ,一般社団法人ＫＩＺＵＮＡ,○,○,○,○,20,,2019/02/01,
